province,ispoor,avg_savings,c_mean
Romblon,1,9496.68073351069,18590.717280228735
Romblon,0,83703.6699697943,87910.3359948815
Samar (Western),1,0.0,15773.134484309121
Samar (Western),0,83665.5211677869,69850.14293215895
Sarangani,1,0.0,14649.76219619563
Sarangani,0,29140.1195091718,45611.447272009114
Siquijor,1,0.0,15782.767148595598
Siquijor,0,22273.2977045294,47535.52782273314
Sorsogon,1,2989.66312603358,17158.524949334507
Sorsogon,0,24841.9948228746,51887.02534155019
South Cotabato,1,0.0,15508.321714544327
South Cotabato,0,55392.0890531672,65547.57482027407
Southern Leyte,1,0.0,15572.294094631909
Southern Leyte,0,58490.3646831081,52183.57004139265
Sultan Kudarat,1,0.0,12908.746077296559
Sultan Kudarat,0,50782.428054094,56919.75866592441
Sulu,1,10953.8735408688,18351.901829565606
Sulu,0,38805.0499265029,34154.42385185317
Surigao del Norte,1,3747.28213076789,16659.521065800247
Surigao del Norte,0,54307.3323381831,58774.183997444314
Surigao del Sur,1,10796.6080433373,16327.112518536782
Surigao del Sur,0,87270.1013429414,64850.59601298194
Tarlac,1,0.0,17761.648471659973
Tarlac,0,53765.7690955177,58154.26613032403
Tawi-tawi,1,8506.74073078654,19837.44894064837
Tawi-tawi,0,69910.6367961108,37655.10313191977
Zambales,1,0.0,17445.879855440577
Zambales,0,26273.9504622666,64617.133148753
Zamboanga del Norte,1,15996.1142834797,14612.117436379487
Zamboanga del Norte,0,48659.4723038924,61716.07339152274
Zamboanga del Sur,1,11942.2428528746,16729.28297730554
Zamboanga del Sur,0,63888.3267591501,79618.60252296345
Zamboanga Sibugay,1,12004.9223028784,17064.871383084475
Zamboanga Sibugay,0,56144.4322040196,53836.9814770363
