,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,ARMM,EQ,1,153829114,helped,a,0.9310153754994157,822.4791037502216,243302.09000000003,22302.6775,0.5150000000000002,147389,16851,164240.0,3.40815036438035e-06,5372.16843396444,0.5150000000000002,122893.5601727389,5372.16843396444,128265.72860670334,1,15573.959716184301,0,0.004054684583948997,0.0,-1,0.0,0.0,137498.75000000003,250544.53000000003,261402.11,0.0,10.0,143268.0871798948,49058.76,44272.31,4786.45,120576.77,0.0,2311.76
1,ARMM,EQ,1,153893114,helped,a,0.7499636399729919,0.0,98041.71900000001,22302.6775,0.5650000000000003,54827,6268,61095.0,3.40815036438035e-06,1998.2643014710764,0.5650000000000003,48456.329163489914,1998.2643014710764,50454.59346496099,1,15573.959716184301,0,0.006387406222212573,0.0,-1,0.0,0.0,50804.18000000001,104625.71,105335.36,0.0,10.0,42706.5905191742,18154.27,16373.87,1780.4,47172.82,0.0,903.99
2,ARMM,EQ,1,156627419,helped,a,1.628717189054237,0.0,116599.21000000002,22302.6775,0.7550000000000004,44656,5105,49761.0,3.40815036438035e-06,1627.495095566344,0.7550000000000004,47951.79733351827,1627.495095566344,49579.29242908461,1,15573.959716184301,0,0.00585709396839272,0.0,-1,0.0,0.0,40332.54000000001,131957.31999999998,132476.01,0.0,10.0,74060.96474958099,14496.65,13046.6,1450.05,45393.93,0.0,868.31
3,ARMM,EQ,1,156642019,helped,a,0.6874904727745614,0.0,21066.311000000005,22302.6775,0.19500000000000006,28408,3247,31655.0,3.40815036438035e-06,1035.1570176893083,0.0,9056.587791351361,1035.1570176893083,10091.744809040669,3,15573.959716184301,0,0.013779572685382052,0.006273462259220503,-1,0.13487475915221578,0.13487475915221578,28408.0,17305.34,12574.06,1841.041,10.0,21519.12932450699,9978.89,9056.59,922.3,9978.89,1841.041,156.8
4,ARMM,EQ,1,157025015,helped,a,2.6924615309153936,1370.7984756648525,26179.943,22302.6775,0.8450000000000005,8566,979,9545.0,3.40815036438035e-06,312.1092455552303,0.8450000000000005,9969.151051118668,312.1092455552303,10281.260296673898,1,15573.959716184301,0,0.012360773468492348,0.0,-1,0.0,0.0,7643.33,53131.92999999999,48605.82,0.0,10.0,23265.698518923873,2754.81,2476.73,278.08,9319.44,0.0,178.11
5,ARMM,EQ,1,157260118,helped,a,2.324508889247561,0.0,23040.299000000003,22302.6775,0.3950000000000002,18647,2132,20779.0,3.40815036438035e-06,679.69041013662,0.051,6786.6488736790825,679.69041013662,7466.339283815702,2,15573.959716184301,0,0.013176071421869688,0.018276603552582447,-1,0.13487475915221578,0.13487475915221578,18526.680000000008,13024.839999999995,7493.85,5196.0,9.446,47523.28699066697,6517.78,5912.19,605.59,7463.57,5196.0,43.62
6,ARMM,EQ,1,157260240,helped,a,2.324508889247561,0.0,18463.852000000006,22302.6775,0.20500000000000004,24661,2819,27480.0,3.40815036438035e-06,898.7088490502495,0.0,7862.028707494928,898.7088490502495,8760.737556545178,3,15573.959716184301,0,0.014718679224862093,0.008662954245266656,-1,0.13487475915221578,0.13487475915221578,24661.0,20848.14,15893.59,2172.9939999999997,10.0,63163.065463002364,8662.75,7862.03,800.72,8662.75,2172.9939999999997,125.04
7,ARMM,EQ,1,157260362,helped,a,1.367358197352658,0.0,25606.150000000012,22302.6775,0.2350000000000001,31195,3566,34761.0,3.40815036438035e-06,1136.855535903934,0.0,9945.094908166915,1136.855535903934,11081.95044407085,3,15573.959716184301,0,0.012498498805629702,0.0038700315654067877,-1,0.13487475915221578,0.0,31195.0,12869.6,8328.39,1416.473,10.0,46999.11697653328,10958.0,9945.09,1012.91,10958.0,1416.473,183.84
8,ARMM,EQ,1,157260484,helped,a,1.6408297443192739,0.0,25441.725000000002,22302.6775,0.3050000000000001,25943,2966,28909.0,3.40815036438035e-06,945.5730565033842,0.03,8922.192227312316,945.5730565033842,9867.765283815701,2,15573.959716184301,0,0.012538821464144603,0.027908364501156652,-1,0.13487475915221578,0.13487475915221578,25846.219999999998,13861.010000000002,8274.91,8011.0,10.757,46769.85402841522,9087.12,8244.64,842.48,9862.95,8011.0,35.63
9,ARMM,EQ,1,157640114,helped,a,0.9211675381074722,0.0,32336.271000000008,22302.6775,0.7150000000000004,13982,1598,15580.0,3.40815036438035e-06,509.4490034701307,0.7150000000000004,14454.649378297483,509.4490034701307,14964.098381767613,1,15573.959716184301,0,0.011122054727009101,0.0029318189341900063,-1,0.0,0.0,12696.610000000002,14615.360000000002,10517.37,1369.0,3.473,13169.483657961036,4557.78,4103.88,453.9,13761.79,1369.0,236.96
