,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,ARMM,EQ,1,153829114,helped,a,0.9310153754994157,822.4791037502216,243302.09000000003,22302.6775,0.5150000000000002,147389,16851,164240.0,3.4732739089620796e-06,5372.16843396444,0.5150000000000002,122893.5601727389,5372.16843396444,128265.72860670334,1,15573.959716184301,0,0.004054684583948997,0.0,-1,0.0,0.0,141653.46000000002,257551.83000000002,261402.11,0.0,10.0,148005.3284143886,50680.92,45610.06,5070.86,124359.95,0.0,2384.3
1,ARMM,EQ,1,153893114,helped,a,0.7499636399729919,0.0,98041.71900000001,22302.6775,0.5650000000000003,54827,6268,61095.0,3.4732739089620796e-06,1998.2643014710764,0.5650000000000003,48456.329163489914,1998.2643014710764,50454.59346496099,1,15573.959716184301,0,0.006387406222212573,0.0,-1,0.0,0.0,52490.780000000006,107368.34000000001,105335.36,0.0,10.0,44234.18811011266,18803.64,16917.45,1886.19,48785.55,0.0,934.89
2,ARMM,EQ,1,156627419,helped,a,1.628717189054237,0.0,116599.21000000002,22302.6775,0.7550000000000004,44656,5105,49761.0,3.4732739089620796e-06,1627.495095566344,0.7550000000000004,47951.79733351827,1627.495095566344,49579.29242908461,1,15573.959716184301,0,0.00585709396839272,0.0,-1,0.0,0.0,42131.68000000001,134601.00999999998,132476.01,0.0,10.0,77474.38935920861,15164.79,13628.58,1536.21,47440.33,0.0,907.46
3,ARMM,EQ,1,156642019,helped,a,0.6874904727745614,0.0,21066.311000000005,22302.6775,0.19500000000000006,28408,3247,31655.0,3.4732739089620796e-06,1035.1570176893083,0.0,9056.587791351361,1035.1570176893083,10091.744809040669,3,15573.959716184301,0,0.013779572685382052,0.003595336745707359,-1,0.07707129094412331,0.07707129094412331,28408.0,17776.78,12574.06,1841.041,10.0,21637.3090231654,10033.69,9056.59,977.1,10033.69,1841.041,157.85
4,ARMM,EQ,1,157025015,helped,a,2.6924615309153936,1370.7984756648525,26179.943,22302.6775,0.8450000000000005,8566,979,9545.0,3.4732739089620796e-06,312.1092455552303,0.8450000000000005,9969.151051118668,312.1092455552303,10281.260296673898,1,15573.959716184301,0,0.012360773468492348,0.0,-1,0.0,0.0,8025.92,53675.13,48605.82,0.0,10.0,24452.2648338065,2895.3,2600.7,294.6,9788.52,0.0,187.08
5,ARMM,EQ,1,157260118,helped,a,2.324508889247561,0.0,23040.299000000003,22302.6775,0.3950000000000002,18647,2132,20779.0,3.4732739089620796e-06,679.69041013662,0.048,6786.6488736790825,679.69041013662,7466.339283815702,2,15573.959716184301,0,0.013176071421869688,0.010474366725127963,-1,0.07707129094412331,0.07707129094412331,18580.290000000005,13155.699999999997,7493.85,5196.0,9.446,47907.90179062969,6570.52,5928.95,641.57,7463.2,5196.0,43.62
6,ARMM,EQ,1,157260240,helped,a,2.324508889247561,0.0,18463.852000000006,22302.6775,0.20500000000000004,24661,2819,27480.0,3.4732739089620796e-06,898.7088490502495,0.0,7862.028707494928,898.7088490502495,8760.737556545178,3,15573.959716184301,0,0.014718679224862093,0.004964760516190431,-1,0.07707129094412331,0.07707129094412331,24661.0,21224.170000000002,15893.59,2172.9939999999997,10.0,63509.97815794056,8710.33,7862.03,848.3,8710.33,2172.9939999999997,125.96
7,ARMM,EQ,1,157260362,helped,a,1.367358197352658,0.0,25606.150000000012,22302.6775,0.2350000000000001,31195,3566,34761.0,3.4732739089620796e-06,1136.855535903934,0.0,9945.094908166915,1136.855535903934,11081.95044407085,3,15573.959716184301,0,0.012498498805629702,0.0022179246673085526,-1,0.07707129094412331,0.0,31195.0,13422.27,8328.39,1416.473,10.0,47257.258306325784,11018.18,9945.09,1073.09,11018.18,1416.473,185.0
8,ARMM,EQ,1,157260484,helped,a,1.6408297443192739,0.0,25441.725000000002,22302.6775,0.3050000000000001,25943,2966,28909.0,3.4732739089620796e-06,945.5730565033842,0.028,8922.192227312316,945.5730565033842,9867.765283815701,2,15573.959716184301,0,0.012538821464144603,0.015994352760491604,-1,0.07707129094412331,0.07707129094412331,25890.069999999996,13968.140000000001,8274.91,8011.0,10.757,47097.86187380796,9150.85,8258.31,892.54,9876.16,8011.0,35.89
9,ARMM,EQ,1,157640114,helped,a,0.9211675381074722,0.0,32336.271000000008,22302.6775,0.7150000000000004,13982,1598,15580.0,3.4732739089620796e-06,509.4490034701307,0.7150000000000004,14454.649378297483,509.4490034701307,14964.098381767613,1,15573.959716184301,0,0.011122054727009101,0.0016802326865617662,-1,0.0,0.0,13232.36,15337.410000000002,10517.37,1369.0,3.473,13747.774272000988,4757.93,4277.05,480.88,14350.31,1369.0,248.23
