region,new_pov,new_sub,reg_pop,init_pov,init_sub,pct_pop_pov,pct_pop_sub,pct_increase_pov,pct_increase_sub
ARMM,2422,3795,3706900.4411799996,1207449.8274699992,783053.5235899996,0.6533760586321591,1.0237663676750801,2.0058804472852336,4.846412008468313
CAR,2746,1862,1783500.1087300004,226826.77379999994,124763.20586000006,1.5396690959303496,1.0440145144291009,12.106154639492566,14.924271840925579
I - Ilocos,21392,11541,5135999.787279997,498991.9861599999,172094.47819999992,4.165109206776099,2.247079532320632,42.870427969439845,67.06200059822724
II - Cagayan Valley,24150,15126,3497900.2975200047,462614.59881,91000.91563999996,6.904141898247426,4.324308503225282,52.20328122398624,166.2181077368334
III - Central Luzon,32025,17854,11098900.305219995,904508.9418499995,337561.9636000002,2.885420998415322,1.6086278378050636,35.40595180242111,52.89103016700188
IVA - CALABARZON,33058,18614,14127199.834489996,957267.2336999997,330698.8041999997,2.3400249438882113,1.3176001060419615,34.53372144811145,56.286868182149945
IVB - MIMAROPA,4505,4141,3089300.0409799996,479538.3057000002,274683.8325999999,1.4582591332148194,1.340433090042745,9.394452844437279,15.07551413129657
IX - Zamboanga Peninsula,998,1077,3764699.585240001,775760.7985300005,498896.45580000035,0.26509419341527013,0.2860786035152765,1.286479030509306,2.1587645842722765
NCR,14435,9547,12651700.151659993,411882.9067899997,82747.37619999994,1.1409533759860744,0.7546021392822344,35.046368183858014,115.37525947559902
V - Bicol,43025,48691,6032099.7638099985,1457733.7156900014,714680.8375700006,7.13267380923165,8.071981881354986,29.51499271568581,68.12971250992983
VI - Western Visayas,11020,9732,7704399.479039998,1169214.2102300003,559182.6168400001,1.4303515841799446,1.2631743754300562,9.425133481598907,17.403974492262577
VII - Central Visayas,11926,11198,7446799.783009999,1173301.2354699993,884177.42078,1.6014933055148566,1.5037331909404128,10.164482606397922,12.664878944908358
VIII - Eastern Visayas,16960,20439,4537200.2606,1006160.7691100009,750583.3241200001,3.7379879718505546,4.504760386595135,16.856153132468044,27.230820807220997
X - Northern Mindanao,1568,1747,4706699.958800001,869614.1375999998,850858.0810699996,0.33314211947340067,0.37117301193879526,1.8030985608484207,2.053221376005566
XI - Davao,3096,2787,4963099.684770001,717867.8137499996,374332.4306000002,0.6238037107133935,0.5615442318340528,4.312771711865876,7.445253929863481
XII - SOCCSKSARGEN,4730,2168,4599200.2723400025,777172.8419199998,939475.9992000007,1.0284396677497691,0.47138630014408023,6.086162234277989,2.3076693836203734
XIII - Caraga,3679,4663,2716699.968209999,605381.8390699999,456930.3460000003,1.3542165285274579,1.7164206775002815,6.077156205497932,10.205056505483217
