,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.664021083285,0.7950000000000005,17130,0,17130.0,3.481345651569128e-06,0.0,0.045,5905.8651929582875,0.0,5905.8651929582875,2,36346.798828125,0,0.009729778363522642,0.17575539509633392,-1,2.90944123314066,2.90944123314066,15783.77,1838.9699999999984,3521.06,5326.0,8.031,80023.31873286566,5190.21,5190.21,0,5901.1,5326.0,11.03
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.6057375128,0.8450000000000005,34666,0,34666.0,3.481345651569128e-06,0.0,0.8450000000000005,40682.19037030431,0.0,40682.19037030431,1,36346.798828125,0,0.006526245786778747,0.20034221776425476,-1,0.0,0.0,2966.1899999999846,0.5499999999999092,7826.22,0.0,0.841,21380.96785520439,990.53,990.53,0,3538.1,3509.04,0.01
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699293,0.8450000000000005,71724,0,71724.0,3.481345651569128e-06,0.0,0.8450000000000005,84171.50585933498,0.0,84171.50585933498,1,36346.798828125,0,0.004589642686662065,0.2071294230440815,-1,0.0,0.0,6137.069999999995,1.1400000000032806,15824.17,0.0,0.827,18958.880395648022,2049.42,2049.42,0,7320.37,7260.17,0.02
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.68880117586,1.1150000000000009,47901,0,47901.0,3.481345651569128e-06,0.0,1.1150000000000009,69147.35875924386,0.0,69147.35875924386,1,36346.798828125,0,0.004643500821149795,0.11885554183194753,-1,0.0,0.0,1868.4600000000094,0.5700000000023091,15459.22,0.0,0.853,7736.317934340869,627.21,627.21,0,2755.79,2725.69,0.01
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193315,0.9650000000000006,38133,0,38133.0,3.481345651569128e-06,0.0,0.9650000000000006,49326.838826250925,0.0,49326.838826250925,1,36346.798828125,0,0.005775933677332382,0.16211256055742107,-1,0.0,0.0,2301.290000000013,0.5400000000015965,9991.58,0.0,0.836,14251.384992485877,770.27,770.27,0,3032.69,3004.14,0.01
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889785,0.7550000000000004,48577,0,48577.0,3.481345651569128e-06,0.0,0.7550000000000004,52635.476727579546,0.0,52635.476727579546,1,36346.798828125,0,0.005978262876591124,0.2506694198942108,-1,0.0,0.0,5400.6699999999755,0.8300000000005192,9326.72,0.0,0.836,38861.79266260271,1800.38,1800.38,0,5937.64,5894.04,0.01
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288203,0.8450000000000005,33115,0,33115.0,3.481345651569128e-06,0.0,0.8450000000000005,38862.018522835846,0.0,38862.018522835846,1,36346.798828125,0,0.006551783832808398,0.18988370566386367,-1,0.0,0.0,2833.4899999999907,0.5300000000011231,7765.32,0.0,0.855,17506.649141114005,946.22,946.22,0,3379.82,3351.79,0.01
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052586,0.6450000000000004,56196,0,56196.0,3.481345651569128e-06,0.0,0.6450000000000004,54709.4635334224,0.0,54709.4635334224,1,36346.798828125,0,0.0061043483897546946,0.3233506570576745,-1,0.0,0.0,8604.21000000002,1.0099999999984983,8945.41,0.0,0.833,44130.38224943554,2862.24,2862.24,0,8481.36,8428.42,0.01
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133014,1.2150000000000007,37138,0,37138.0,3.481345651569128e-06,0.0,1.2150000000000007,57324.74765507904,0.0,57324.74765507904,1,36346.798828125,0,0.004413495638762264,0.06675584944967755,-1,0.0,0.0,1082.8999999999978,0.3800000000013686,17112.5,0.0,1.039,1996.608086082116,364.29,364.29,0,1711.18,1690.94,0.01
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.1517292169,1.0350000000000006,48879,0,48879.0,3.481345651569128e-06,0.0,1.0350000000000006,66648.82800929165,0.0,66648.82800929165,1,36346.798828125,0,0.004803528445287457,0.13584960107225805,-1,0.0,0.0,2406.259999999988,0.6399999999997725,14446.35,0.0,0.853,8842.422564879053,806.49,806.49,0,3347.14,3313.41,0.01
