,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,scale_fac_soc,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,1.0350000000000006,11186.667575300948,0.0,11186.667575300948,0.0,3675.349320889494,0.0,3675.349320889494,0.1993905563971129,5905.865192958292,0.0,5905.865192958292,2,36346.798828125,0,0,0.0,0.00972977836352264,0.0007286286065405393,-1,0.019267822736030827,0.019267822736030827,False,11143.772840592597,3465.7289678162447,3521.055335090274,3023.0966044173474,2.202149182892012e-05,3675.349320889494,0.0,3675.349320889494,5905.865192958292,3023.0966044173474,55.32636727402943
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,1.0350000000000006,25393.809805527846,0.0,25393.809805527846,0.0,8343.06740548987,0.0,8343.06740548987,1.0350000000000006,34625.66055421121,0.0,34625.66055421121,1,36346.798828125,0,0,0.0,0.006526245786778746,0.0016161152383725396,-1,0.0,0.0,True,24892.417508061535,7434.890949018822,7826.217144792736,13972.85878645134,2.202149182892012e-05,8343.06740548987,0.0,8343.06740548987,34625.66055421121,13972.85878645134,391.3261957739143
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,0.9050000000000006,66360.67891004175,0.0,66360.67891004175,0.0,21802.62124748319,0.0,21802.62124748319,0.9050000000000006,81859.03566107102,0.0,81859.03566107102,1,36346.798828125,0,0,0.0,0.004589642686662065,0.0022308023658599526,-1,0.0,0.0,True,65213.5530636821,14980.507266817638,15824.171935582746,37363.26616574705,2.202149182892012e-05,21802.62124748319,0.0,21802.62124748319,81859.03566107102,37363.26616574705,843.6646687651074
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,0.8450000000000005,70130.43024445415,0.0,70130.43024445415,0.0,23041.162834027306,0.0,23041.162834027306,0.8450000000000005,82301.3763905911,0.0,82301.3763905911,1,36346.798828125,0,0,0.0,0.004643500821149795,0.0024015149812347206,-1,0.0,0.0,True,68997.85983788011,14634.659897072826,15459.224066764657,38840.13020100937,2.202149182892012e-05,23041.162834027306,0.0,23041.162834027306,82301.3763905911,38840.13020100937,824.564169691831
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,0.7550000000000004,52209.378398545705,0.0,52209.378398545705,0.0,17153.249808265206,0.0,17153.249808265206,0.7550000000000004,56571.330499167234,0.0,56571.330499167234,1,36346.798828125,0,0,0.0,0.005775933677332381,0.0027546017927781567,-1,0.0,0.0,True,51455.37542244176,9451.249379549054,9991.584135161096,28118.467325807273,2.202149182892012e-05,17153.249808265206,0.0,17153.249808265206,56571.330499167234,28118.467325807273,540.334755612042
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,1.1150000000000009,25785.90386459103,0.0,25785.90386459103,0.0,8471.888846191696,0.0,8471.888846191696,1.1150000000000009,37223.17165521072,0.0,37223.17165521072,1,36346.798828125,0,0,0.0,0.005978262876591123,0.001292387800140289,-1,0.0,0.0,True,25237.837548529238,8879.739857218005,9326.71550074149,13628.139529884907,2.202149182892012e-05,8471.888846191696,0.0,8471.888846191696,37223.17165521072,13628.139529884907,446.9756435234845
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,1.1150000000000009,23632.061085099536,0.0,23632.061085099536,0.0,7764.249636961521,0.0,7764.249636961521,1.1150000000000009,34113.997746847526,0.0,34113.997746847526,1,36346.798828125,0,0,0.0,0.006551783832808397,0.001528809212584066,-1,0.0,0.0,True,23129.773605557537,7369.305529438275,7765.324791906837,13196.762065227693,2.202149182892012e-05,7764.249636961521,0.0,7764.249636961521,34113.997746847526,13196.762065227693,396.0192624685627
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,0.7950000000000005,41845.77215748288,0.0,41845.77215748288,0.0,13748.31505860347,0.0,13748.31505860347,0.7950000000000005,47015.70392380238,0.0,47015.70392380238,1,36346.798828125,0,0,0.0,0.006104348389754694,0.002408558840244984,-1,0.0,0.0,True,41209.66635242851,8480.52032272422,8945.407340877156,22529.807905093952,2.202149182892012e-05,13748.31505860347,0.0,13748.31505860347,47015.70392380238,22529.807905093952,464.88701815293626
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,0.7550000000000004,78029.51702709802,0.0,78029.51702709802,0.0,25636.8818769492,0.0,25636.8818769492,0.7550000000000004,84549.16723240825,0.0,84549.16723240825,1,36346.798828125,0,0,0.0,0.004413495638762264,0.00222964375165016,-1,0.0,0.0,True,76902.62201575989,16273.3864570416,17112.495295110846,40387.41270561445,2.202149182892012e-05,25636.8818769492,0.0,25636.8818769492,84549.16723240825,40387.41270561445,839.1088380692458
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,0.7550000000000004,72433.94231546293,0.0,72433.94231546293,0.0,23797.975483447175,0.0,23797.975483447175,0.7550000000000004,78485.60193162173,0.0,78485.60193162173,1,36346.798828125,0,0,0.0,0.004803528445287456,0.0025833181142725656,-1,0.0,0.0,True,71387.85807251546,13688.139583703987,14446.345977434743,38566.575145612784,2.202149182892012e-05,23797.975483447175,0.0,23797.975483447175,78485.60193162173,38566.575145612784,758.2063937307549
