,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
2910,Ampara,PF,50.0,52204076091,helped,a,43493.30859375,1.0,0,22.314444064500425,22.314444064500425,0.0,32978.87215270377,18170.073912551452,0.0,18170.073912551452,0.0,0.0,3.270895840525258e-05,5969.728551016794,0.0,5969.728551016794,5969.728551016794,0.0,5969.728551016794,0.0,3,36346.798828125,5.632680043150034,33625.570872335265,0.0,0,0.0,0.011013163737581282,-0.0004738540593795717,-1.0,0.019267822736030827,0.019267822736030827,False,18170.073912551452,17671.203834966786,2748.2393460586477,-1683.9633377106147,5969.728551016794,0.0,5969.728551016794,5969.728551016794,-1683.9633377106147,147.46997858819668
2911,Ampara,PF,50.0,52204076101,helped,a,43493.30859375,1.0,1,40.165999316100766,40.165999316100766,0.0,36328.89296419594,12034.554315907193,0.0,12034.554315907193,0.0,0.0,3.270895840525258e-05,3953.920212113508,0.0,3953.920212113508,3953.920212113508,0.0,3953.920212113508,0.0,3,36346.798828125,5.632680043150034,22271.167470979308,0.0,0,0.0,0.010493102462822354,-2.3737528805627113e-06,-1.0,0.019267822736030827,0.019267822736030827,False,12034.554315907193,18021.486277247186,3027.4077470163284,-8.952931964529853,3953.920212113508,0.0,3953.920212113508,3953.920212113508,-8.952931964529853,76.35593726547279
3017,Ampara,PF,50.0,52207002051,helped,a,43493.30859375,1.0,0,7.438137677973144,7.438137677973144,0.0,34901.34062748441,66807.3529421244,0.0,66807.3529421244,0.0,0.0,3.270895840525258e-05,21949.374790432707,0.0,21949.374790432707,21949.374790432707,0.0,21949.374790432707,0.0,3,36346.798828125,5.632680043150034,123633.80534169078,0.0,0,0.0,0.010705548935178569,-0.00019645103006265098,-1.0,0.019267822736030827,0.019267822736030827,False,66807.3529421244,17542.037440966797,2908.4450522903676,-722.7291003202954,21949.374790432707,0.0,21949.374790432707,21949.374790432707,-722.7291003202954,436.8420788199037
3131,Ampara,PF,50.0,52209024031,helped,a,43493.30859375,1.0,0,7.438137677973144,7.438137677973144,0.0,29338.353392317844,11253.72197330017,0.0,11253.72197330017,0.0,0.0,3.270895840525258e-05,3697.3798616640515,0.0,3697.3798616640515,3697.3798616640515,0.0,3697.3798616640515,0.0,3,36346.798828125,5.632680043150034,20826.157758739937,0.0,0,0.0,0.011676485057831127,-0.0010569020707534087,-1.0,0.019267822736030827,0.019267822736030827,False,11253.72197330017,17376.538048271035,2444.862782693154,-3504.222717903578,3697.3798616640515,0.0,3697.3798616640515,3697.3798616640515,-3504.222717903578,138.75920191845142
3673,Ampara,PF,100.0,52203064051,helped,a,43493.30859375,1.0,1,13.316198935426835,13.316198935426835,0.0,35252.204564023574,6948.240703184596,0.0,6948.240703184596,0.0,0.0,3.462288091381418e-05,2282.825656338432,0.0,2282.825656338432,2282.825656338432,0.0,2282.825656338432,0.0,3,36346.798828125,5.632680043150034,12858.426516448364,0.0,0,0.0,0.01065213973423924,-0.00014784896583827062,-1.0,0.019267822736030827,0.019267822736030827,False,6948.240703184596,17527.9033759568,2937.6837136686313,-547.2971320507131,2282.825656338432,0.0,2282.825656338432,2282.825656338432,-547.2971320507131,54.53030420788333
3706,Ampara,PF,100.0,52204070101,helped,a,43493.30859375,1.0,1,11.984584768096049,11.984584768096049,0.0,31728.48029349312,18125.17954643864,0.0,18125.17954643864,0.0,0.0,3.462288091381418e-05,5954.978628674524,0.0,5954.978628674524,5954.978628674524,0.0,5954.978628674524,0.0,3,36346.798828125,5.632680043150034,33542.48927911995,0.0,0,0.0,0.011228076426991217,-0.00066505515249687,-1.0,0.019267822736030827,0.019267822736030827,False,18125.17954643864,17129.558046907758,2644.04002445776,-2309.1592673159394,5954.978628674524,0.0,5954.978628674524,5954.978628674524,-2309.1592673159394,159.231944046059
3738,Ampara,PF,100.0,52204076091,helped,a,43493.30859375,1.0,0,23.969191415449497,23.969191415449497,0.0,32978.87215270377,15386.201005858311,0.0,15386.201005858311,0.0,0.0,3.462288091381418e-05,5055.094650600563,0.0,5055.094650600563,5055.094650600563,0.0,5055.094650600563,0.0,3,36346.798828125,5.632680043150034,28473.730754672288,0.0,0,0.0,0.011013163737581282,-0.0004738540593795717,-1.0,0.019267822736030827,0.019267822736030827,False,15386.201005858311,17263.14233782809,2748.2393460586477,-1683.9633377106147,5055.094650600563,0.0,5055.094650600563,5055.094650600563,-1683.9633377106147,129.84697472661227
3739,Ampara,PF,100.0,52204076101,helped,a,43493.30859375,1.0,1,43.14454454780909,43.14454454780909,0.0,36328.89296419594,14931.334477153616,0.0,14931.334477153616,0.0,0.0,3.462288091381418e-05,4905.649485083951,0.0,4905.649485083951,4905.649485083951,0.0,4905.649485083951,0.0,3,36346.798828125,5.632680043150034,27631.953953321612,0.0,0,0.0,0.010493102462822354,-2.3737528805627113e-06,-1.0,0.019267822736030827,0.019267822736030827,False,14931.334477153616,17577.464025322624,3027.4077470163284,-8.952931964529853,4905.649485083951,0.0,4905.649485083951,4905.649485083951,-8.952931964529853,94.69368818975877
3845,Ampara,PF,100.0,52207002051,helped,a,43493.30859375,1.0,0,7.989719361256101,7.989719361256101,0.0,34901.34062748441,53013.68306175797,0.0,53013.68306175797,0.0,0.0,3.462288091381418e-05,17417.50192604979,0.0,17417.50192604979,17417.50192604979,0.0,17417.50192604979,0.0,3,36346.798828125,5.632680043150034,98107.21550038795,0.0,0,0.0,0.010705548935178569,-0.00019645103006265098,-1.0,0.019267822736030827,0.019267822736030827,False,53013.68306175797,17203.67226297968,2908.4450522903676,-722.7291003202954,17417.50192604979,0.0,17417.50192604979,17417.50192604979,-722.7291003202954,349.52275580674535
3959,Ampara,PF,100.0,52209024031,helped,a,43493.30859375,1.0,0,7.989719361256101,7.989719361256101,0.0,29338.353392317844,7731.353247390749,0.0,7731.353247390749,0.0,0.0,3.462288091381418e-05,2540.1151608449336,0.0,2540.1151608449336,2540.1151608449336,0.0,2540.1151608449336,0.0,3,36346.798828125,5.632680043150034,14307.655973794097,0.0,0,0.0,0.011676485057831127,-0.0010569020707534087,-1.0,0.019267822736030827,0.019267822736030827,False,7731.353247390749,16973.15151838481,2444.862782693154,-3504.222717903578,2540.1151608449336,0.0,2540.1151608449336,2540.1151608449336,-3504.222717903578,116.46123080440292
4501,Ampara,PF,250.0,52203064051,helped,a,43493.30859375,1.0,1,14.213986143323561,14.213986143323561,0.0,35252.204564023574,11784.988651730073,0.0,11784.988651730073,0.0,0.0,3.749974538705595e-05,3871.926089361895,0.0,3871.926089361895,3871.926089361895,0.0,3871.926089361895,0.0,3,36346.798828125,5.632680043150034,21809.3208121007,0.0,0,0.0,0.01065213973423924,-0.00014784896583827062,-1.0,0.019267822736030827,0.019267822736030827,False,11784.988651730073,18303.027010839385,2937.6837136686313,-547.2971320507131,3871.926089361895,0.0,3871.926089361895,3871.926089361895,-547.2971320507131,85.14880966112923
4534,Ampara,PF,250.0,52204070101,helped,a,43493.30859375,1.0,1,12.792593641268212,12.792593641268212,0.0,31728.48029349312,19832.65934097863,0.0,19832.65934097863,0.0,0.0,3.749974538705595e-05,6515.966488647313,0.0,6515.966488647313,6515.966488647313,0.0,6515.966488647313,0.0,3,36346.798828125,5.632680043150034,36702.354402438126,0.0,0,0.0,0.011228076426991217,-0.00066505515249687,-1.0,0.019267822736030827,0.019267822736030827,False,19832.65934097863,17924.491172600567,2644.04002445776,-2309.1592673159394,6515.966488647313,0.0,6515.966488647313,6515.966488647313,-2309.1592673159394,170.04095868907999
4566,Ampara,PF,250.0,52204076091,helped,a,43493.30859375,1.0,0,25.58521063690827,25.58521063690827,0.0,32978.87215270377,8185.6355405012955,0.0,8185.6355405012955,0.0,0.0,3.749974538705595e-05,2689.3683773401103,0.0,2689.3683773401103,2689.3683773401103,0.0,2689.3683773401103,0.0,3,36346.798828125,5.632680043150034,15148.35158772243,0.0,0,0.0,0.011013163737581282,-0.0004738540593795717,-1.0,0.019267822736030827,0.019267822736030827,False,8185.6355405012955,18114.46687263907,2748.2393460586477,-1683.9633377106147,2689.3683773401103,0.0,2689.3683773401103,2689.3683773401103,-1683.9633377106147,84.26458025145904
4567,Ampara,PF,250.0,52204076101,helped,a,43493.30859375,1.0,1,46.053379146434885,46.053379146434885,0.0,36328.89296419594,19002.240042403006,0.0,19002.240042403006,0.0,0.0,3.749974538705595e-05,6243.134478173333,0.0,6243.134478173333,6243.134478173333,0.0,6243.134478173333,0.0,3,36346.798828125,5.632680043150034,35165.57898190884,0.0,0,0.0,0.010493102462822354,-2.3737528805627113e-06,-1.0,0.019267822736030827,0.019267822736030827,False,19002.240042403006,18357.435741899506,3027.4077470163284,-8.952931964529853,6243.134478173333,0.0,6243.134478173333,6243.134478173333,-8.952931964529853,120.4641119487064
4673,Ampara,PF,250.0,52207002051,helped,a,43493.30859375,1.0,0,8.528391685994137,8.528391685994137,0.0,34901.34062748441,69172.42355040292,0.0,69172.42355040292,0.0,0.0,3.749974538705595e-05,22726.412330475847,0.0,22726.412330475847,22726.412330475847,0.0,22726.412330475847,0.0,3,36346.798828125,5.632680043150034,128010.60918627017,0.0,0,0.0,0.010705548935178569,-0.00019645103006265098,-1.0,0.019267822736030827,0.019267822736030827,False,69172.42355040292,17907.123258721556,2908.4450522903676,-722.7291003202954,22726.412330475847,0.0,22726.412330475847,22726.412330475847,-722.7291003202954,451.81390040069635
4787,Ampara,PF,250.0,52209024031,helped,a,43493.30859375,1.0,0,8.528391685994137,8.528391685994137,0.0,29338.353392317844,11671.409111667841,0.0,11671.409111667841,0.0,0.0,3.749974538705595e-05,3834.6098392253184,0.0,3834.6098392253184,3834.6098392253184,0.0,3834.6098392253184,0.0,3,36346.798828125,5.632680043150034,21599.130314671213,0.0,0,0.0,0.011676485057831127,-0.0010569020707534087,-1.0,0.019267822736030827,0.019267822736030827,False,11671.409111667841,17753.951564724866,2444.862782693154,-3504.222717903578,3834.6098392253184,0.0,3834.6098392253184,3834.6098392253184,-3504.222717903578,141.40332480017142
5329,Ampara,PF,500.0,52203064051,helped,a,43493.30859375,1.0,1,15.925454132233442,15.925454132233442,0.0,35252.204564023574,8366.455878596305,0.0,8366.455878596305,0.0,0.0,4.246453611570653e-05,2748.7764094772083,0.0,2748.7764094772083,2748.7764094772083,0.0,2748.7764094772083,0.0,3,36346.798828125,5.632680043150034,15482.978024743878,0.0,0,0.0,0.01065213973423924,-0.00014784896583827062,-1.0,0.019267822736030827,0.019267822736030827,False,8366.455878596305,17857.192529102416,2937.6837136686313,-547.2971320507131,2748.7764094772083,0.0,2748.7764094772083,2748.7764094772083,-547.2971320507131,63.50816072308133
5362,Ampara,PF,500.0,52204070101,helped,a,43493.30859375,1.0,1,14.332915567250003,14.332915567250003,0.0,31728.48029349312,18636.563067097253,0.0,18636.563067097253,0.0,0.0,4.246453611570653e-05,6122.99229876127,0.0,6122.99229876127,6122.99229876127,0.0,6122.99229876127,0.0,3,36346.798828125,5.632680043150034,34488.85652559396,0.0,0,0.0,0.011228076426991217,-0.00066505515249687,-1.0,0.019267822736030827,0.019267822736030827,False,18636.563067097253,17464.587798956105,2644.04002445776,-2309.1592673159394,6122.99229876127,0.0,6122.99229876127,6122.99229876127,-2309.1592673159394,162.4692016585204
5394,Ampara,PF,500.0,52204076091,helped,a,43493.30859375,1.0,0,28.665857300909195,28.665857300909195,0.0,32978.87215270377,9917.210319918802,0.0,9917.210319918802,0.0,0.0,4.246453611570653e-05,3258.27257930754,0.0,3258.27257930754,3258.27257930754,0.0,3258.27257930754,0.0,3,36346.798828125,5.632680043150034,18352.806932608568,0.0,0,0.0,0.011013163737581282,-0.0004738540593795717,-1.0,0.019267822736030827,0.019267822736030827,False,9917.210319918802,17636.030196646763,2748.2393460586477,-1683.9633377106147,3258.27257930754,0.0,3258.27257930754,3258.27257930754,-1683.9633377106147,95.22612556875058
5395,Ampara,PF,500.0,52204076101,helped,a,43493.30859375,1.0,1,51.59854314163655,51.59854314163655,0.0,36328.89296419594,16114.87683412807,0.0,16114.87683412807,0.0,0.0,4.246453611570653e-05,5294.499119585849,0.0,5294.499119585849,5294.499119585849,0.0,5294.499119585849,0.0,3,36346.798828125,5.632680043150034,29822.21952936664,0.0,0,0.0,0.010493102462822354,-2.3737528805627113e-06,-1.0,0.019267822736030827,0.019267822736030827,False,16114.87683412807,17908.238749154883,3027.4077470163284,-8.952931964529853,5294.499119585849,0.0,5294.499119585849,5294.499119585849,-8.952931964529853,102.18597401831173
5501,Ampara,PF,500.0,52207002051,helped,a,43493.30859375,1.0,0,9.555272479340065,9.555272479340065,0.0,34901.34062748441,50029.48732389761,0.0,50029.48732389761,0.0,0.0,4.246453611570653e-05,16437.05250224081,0.0,16437.05250224081,16437.05250224081,0.0,16437.05250224081,0.0,3,36346.798828125,5.632680043150034,92584.65759758116,0.0,0,0.0,0.010705548935178569,-0.00019645103006265098,-1.0,0.019267822736030827,0.019267822736030827,False,50029.48732389761,17560.830398340084,2908.4450522903676,-722.7291003202954,16437.05250224081,0.0,16437.05250224081,16437.05250224081,-722.7291003202954,330.6316301071504
5615,Ampara,PF,500.0,52209024031,helped,a,43493.30859375,1.0,0,9.555272479340065,9.555272479340065,0.0,29338.353392317844,8643.035185836423,0.0,8643.035185836423,0.0,0.0,4.246453611570653e-05,2839.6457914620128,0.0,2839.6457914620128,2839.6457914620128,0.0,2839.6457914620128,0.0,3,36346.798828125,5.632680043150034,15994.816179183064,0.0,0,0.0,0.011676485057831127,-0.0010569020707534087,-1.0,0.019267822736030827,0.019267822736030827,False,8643.035185836423,17305.647224950877,2444.862782693154,-3504.222717903578,2839.6457914620128,0.0,2839.6457914620128,2839.6457914620128,-3504.222717903578,122.23253389914433
