district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,5.0,42252.664021083285,2867.636481566476,181.77679228751092
Ampara,PF,5.0,93914.60573751283,11118.11362629837,0.455586164673225
Ampara,PF,5.0,189890.06322699296,13764.253336386479,2.607748932132827e-09
Ampara,PF,5.0,185510.6888011759,12502.023234324217,2.3479180530505485e-10
Ampara,PF,5.0,119899.00962193315,9902.03172385362,1.995636626970799e-05
Ampara,PF,5.0,111920.58600889787,14555.478067472639,0.3582750808862658
Ampara,PF,5.0,93183.89750288203,6405.8987097318895,1.1348938896125487e-05
Ampara,PF,5.0,107344.88809052588,14426.168059765454,0.8252876993427521
Ampara,PF,5.0,205349.94354133017,22621.70064918138,0.0002895591846861145
Ampara,PF,5.0,173356.15172921694,23086.386616738848,0.03266826776476637
Ampara,PF,5.0,187466.74015954693,22566.694501819904,0.003033138355134092
Ampara,PF,5.0,98597.30716633184,7895.1587589481705,0.00016192154214538342
Ampara,PF,5.0,102961.1308684206,6809.830129225903,5.506305698020228e-07
Ampara,PF,5.0,145297.51332983177,16352.602290246436,0.0035612317453418366
Ampara,PF,5.0,115447.63546244107,10985.069133284816,0.0008663487277825191
Ampara,PF,5.0,95714.04244082207,6292.758715184607,2.0129021634086016e-06
Ampara,PF,5.0,118301.56240584553,8272.793232393275,2.501171605736896e-07
Ampara,PF,5.0,162408.5476928466,12551.388969089361,9.629822927117867e-08
Ampara,PF,5.0,135091.45733174606,17018.59365425929,0.05117198150268725
Ampara,PF,5.0,193196.42599684995,33444.53531553275,1.6414456196447509
Ampara,PF,5.0,223170.1120000279,24451.21715524709,0.00015711834667349943
Ampara,PF,5.0,106204.43527777873,10404.216159252444,0.0042056329456528615
Ampara,PF,5.0,70674.3889680465,10918.756978991949,29.962488202767876
Ampara,PF,5.0,153146.89054520606,14068.278734654255,2.2149698337425228e-05
Ampara,PF,5.0,140822.95956858035,22104.10486395572,1.3560963932693642
Ampara,PF,5.0,78970.67078033325,8523.588226459839,1.0910509316457313
Ampara,PF,5.0,83271.65877734953,9580.19254697136,1.2646438498753307
Ampara,PF,5.0,70735.02741562157,13814.95791006095,257.93937165309774
Ampara,PF,5.0,71505.18081684581,4643.173203484162,0.0018452800081997195
Ampara,PF,5.0,81725.26410679494,10188.389821490755,0.535245597054101
Ampara,PF,5.0,100858.7011452491,14414.685857951734,0.7090529845298942
Ampara,PF,5.0,57804.290089805545,8568.050725534036,153.12816435338888
Ampara,PF,5.0,94081.69105696895,16887.98008643097,20.430982227540984
Ampara,PF,5.0,75890.76029783557,8567.612818708016,0.2743050640980466
Ampara,PF,5.0,133528.55686287096,11186.600999424476,7.891952595226024e-06
Ampara,PF,5.0,79044.18222716647,10971.150661925269,3.1931392459432115
Ampara,PF,5.0,105491.44572760708,9249.102598001773,0.0004516104776656238
Ampara,PF,5.0,76291.96779815527,7565.223267378726,0.5709846854291268
Ampara,PF,5.0,61854.62667022437,5843.249956040539,0.40251468636347343
Ampara,PF,5.0,60139.95723148843,7960.36554781559,34.55327032248752
Ampara,PF,5.0,73982.6970432079,10158.764028958472,5.203130882479835
Ampara,PF,5.0,48480.07555637554,4247.268760903815,27.207401856618816
Ampara,PF,5.0,122011.01352844006,20019.59216209332,1.7951031092241212
Ampara,PF,5.0,113963.84798217926,10812.087257701372,0.0009439044452352347
Ampara,PF,5.0,48268.01384078586,6511.849672370363,623.318901189954
Ampara,PF,5.0,102753.4285117058,13888.261597761943,1.2921535828130948
Ampara,PF,5.0,102512.07002948405,14735.169945221209,0.6925594722883328
Ampara,PF,5.0,117625.39303197703,15728.827334912135,0.3731404939503177
Ampara,PF,5.0,73981.20290810968,11156.681274389575,15.461425465258687
Ampara,PF,5.0,173242.29277537798,22363.71120548316,0.018266071541539912
Ampara,PF,5.0,112472.31443681993,11798.456178035183,0.008385083837903812
Ampara,PF,5.0,130928.62116746006,8787.104888454242,1.4814178784605145e-08
Ampara,PF,5.0,98520.44416939592,13515.490078144438,2.2808292661022107
Ampara,PF,5.0,112512.19319555954,8099.286627178253,1.2784283907139105e-06
Ampara,PF,5.0,85913.1255691381,10105.879312196355,1.161770318225685
Ampara,PF,5.0,95652.25555999498,6777.053512244691,1.4537116581630066e-05
Ampara,PF,5.0,81181.01221371742,7223.366319519361,0.036178247722989255
Ampara,PF,5.0,71568.52042630437,11233.670520949505,31.617653824527768
Ampara,PF,5.0,57577.27530452685,5353.858834059265,1.24642189702069
Ampara,PF,5.0,60476.37786207795,7656.515335980367,20.54193307152357
Ampara,PF,5.0,52360.93327150444,3711.536897140979,0.29846574905209705
Ampara,PF,5.0,74836.00638684063,7150.553712064478,0.4663331992868384
Ampara,PF,5.0,56740.75300817432,5168.285552959861,1.2764139630740043
Ampara,PF,5.0,44218.85499038566,3697.0991330700176,192.66392211611424
Ampara,PF,5.0,605070.3868616446,82762.23688727496,0.003121761650101687
Ampara,PF,5.0,488820.25436761725,82356.51273859416,0.2291167346833045
Ampara,PF,5.0,388132.96274457924,114477.87713205974,387.6533948122807
Ampara,PF,5.0,288429.644044353,21260.44812395316,7.97940939449633e-06
Ampara,PF,5.0,137484.2297309482,14650.664154748018,0.0017674814261210829
Ampara,PF,5.0,398446.47928267147,42538.65009603615,1.8754998640154173e-05
Ampara,PF,5.0,317493.8412242044,20768.81347141118,2.992189150204475e-05
Ampara,PF,5.0,335218.1037876554,41928.7651002751,0.0009209887380092453
Ampara,PF,5.0,139548.878343871,21674.203130559425,1.218500559495115
Ampara,PF,5.0,98173.79896725176,11656.971990727172,0.2961907523018825
Ampara,PF,5.0,318447.1814478257,30969.6624472448,1.5783199679424816e-06
Ampara,PF,5.0,86542.68964664827,7475.863885788061,0.006987362046394397
Ampara,PF,5.0,91524.96223298699,8927.706872097702,0.027025533667875
Ampara,PF,5.0,112328.2915320566,15506.174202178696,0.8522071693821238
Ampara,PF,5.0,105059.5762313302,16140.64604049196,1.5472644253024783
Ampara,PF,5.0,53600.81345084749,4220.140541022699,0.6761369744645336
Ampara,PF,5.0,70295.60521290696,6017.3994141101075,0.3159355165397014
Ampara,PF,5.0,91499.76701368339,11075.830223968227,0.8387806262347435
Ampara,PF,5.0,96167.6442785866,6382.645788827774,2.360098620273934e-06
Ampara,PF,5.0,61103.83843174395,5081.334248606712,0.07390389792626267
Ampara,PF,5.0,121001.98601080447,11661.71881801743,0.0006831961374179485
Ampara,PF,5.0,71679.36767253355,8149.675991728091,0.6150603249699576
Ampara,PF,5.0,118426.92912961752,21724.35432125636,8.913468982341861
Ampara,PF,5.0,74376.5569144563,5617.260740530783,0.011798014625594594
Ampara,PF,5.0,101437.96853380528,9614.619537788616,0.0038955423819307814
Ampara,PF,5.0,88562.66069045712,11342.27908867195,0.3766094095600511
Ampara,PF,5.0,102760.33082992432,17198.159716587543,5.483442976523539
Ampara,PF,5.0,97794.88630633909,9734.4073303774,0.01592895068021449
Ampara,PF,5.0,204269.3147260458,31233.810474884627,0.19422694958522385
Ampara,PF,5.0,156100.25071455978,19546.890936454736,0.01813294899459133
Ampara,PF,5.0,257854.53057833837,18861.927656282638,3.4838600362809517e-10
Ampara,PF,5.0,117991.63777099804,10150.272377548134,6.706457396715303e-05
Ampara,PF,5.0,57668.259342979465,6796.503226934219,19.029900291002786
Ampara,PF,5.0,43978.16154476645,8271.89240727023,8271.89240727023
