region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,50,243302.09000000003,25634.26295350586,0.0
ARMM,PF,50,98041.719,8578.741616719944,0.0
ARMM,PF,50,116599.21000000002,11070.824170326166,0.0
ARMM,PF,50,21066.311000000005,6349.496558449239,5995.5135604123525
ARMM,PF,50,26179.943,2068.0137508154426,0.0
ARMM,PF,50,23040.299000000006,4974.862051925555,16.955158072498975
ARMM,PF,50,18463.852000000006,6869.368720420147,6486.402966853531
ARMM,PF,50,25606.15000000001,9511.63797856843,2018.7273351248396
ARMM,PF,50,25441.725,11422.398365719482,10785.602238491318
ARMM,PF,50,32336.27100000001,2870.996394654616,0.0
ARMM,PF,50,28000.33800000001,2686.9118269896867,0.0069336679966534726
ARMM,PF,50,24290.74000000001,8029.654648637364,1017.8642609688948
ARMM,PF,50,14660.443000000005,5409.167538892802,5107.607671165471
ARMM,PF,50,25692.90800000001,3611.8837901440224,0.05494200901754892
ARMM,PF,50,28644.793000000005,8816.886843923523,251.27288745239233
ARMM,PF,50,21983.363000000005,9083.049663831333,8576.671697999936
ARMM,PF,50,41782.48800000001,9259.74659267877,0.0
ARMM,PF,50,75756.96100000001,13043.559399211079,0.0
ARMM,PF,50,17893.768000000004,3032.120541928813,2863.0805070282613
ARMM,PF,50,20441.686,4628.3437539339175,383.1657984533071
ARMM,PF,50,20354.516000000007,3085.043870768211,0.49433062747596396
ARMM,PF,50,29381.92200000001,7300.950025146663,0.0
ARMM,PF,50,14467.27099999999,897.6351200520398,0.0
ARMM,PF,50,9765.75679999997,606.0675329268457,0.0
ARMM,PF,50,14189.76599999998,781.4810841014928,0.0
ARMM,PF,50,26386.826,2990.978807815029,0.0
ARMM,PF,50,24692.90000000001,8607.280583228428,1562.6122124021704
ARMM,PF,50,12662.072000000002,873.1614546632983,824.4829009154947
ARMM,PF,50,16819.752000000008,2168.041269562546,2047.1734587994688
ARMM,PF,50,14568.435,1641.5061008045102,1549.9904908134588
ARMM,PF,50,19211.766000000003,1620.0749399064505,0.0
ARMM,PF,50,16270.782000000007,5954.002065528386,5622.067796083201
ARMM,PF,50,15593.180000000002,5860.995808708759,5534.246617060236
ARMM,PF,50,16000.623,4905.35763948325,4631.885059778202
ARMM,PF,50,13540.620999999996,4382.419522644299,4138.095025092473
ARMM,PF,50,11936.803999999998,1767.0680423407935,1668.5522984931667
ARMM,PF,50,21340.802999999967,3046.2748861422474,0.0
ARMM,PF,50,217936.58,17673.59755884863,0.0
ARMM,PF,50,18579.625,2902.6439163666405,147.7154272524239
ARMM,PF,50,28168.06600000001,12126.85012286191,3728.737414020897
ARMM,PF,50,40491.92200000001,12296.940724224705,249.9566850437163
ARMM,PF,50,47652.73400000001,20815.3199401168,2473.119102675721
ARMM,PF,50,32448.801,5409.8674591127865,0.0
ARMM,PF,50,27148.196999999996,4637.475312207004,0.0
ARMM,PF,50,17948.328,1259.586956687768,0.004949751172553811
ARMM,PF,50,20872.67799999999,1985.878507910274,0.012561006610259036
ARMM,PF,50,15453.292999999969,3318.424568918449,3133.3962708206896
ARMM,PF,50,236120.69000000012,41295.81642205319,0.0
ARMM,PF,50,78659.79700000005,7387.091680940397,0.0
ARMM,PF,50,50589.066,5279.7656263908475,0.0
ARMM,PF,50,140935.58000000005,25244.663829196837,0.0
ARMM,PF,50,24142.43600000001,7408.24450050463,481.3904265808374
ARMM,PF,50,20699.721,7868.145885005751,7429.49373053965
ARMM,PF,50,18379.77500000001,6907.364872820295,6522.2808423451625
ARMM,PF,50,18344.682000000008,7072.053133039369,6677.787769279434
ARMM,PF,50,22801.00600000001,8371.921066572124,7905.188359310498
ARMM,PF,50,15999.516000000005,5429.6138889794065,5126.914141855979
ARMM,PF,50,18754.285000000003,7732.362335107429,7301.284882573565
ARMM,PF,50,68036.97700000001,13390.034764885328,0.0
ARMM,PF,50,22240.632999999998,2506.656663324281,0.0
ARMM,PF,50,29673.542999999998,2593.835989221797,0.0
ARMM,PF,50,30097.895999999993,13058.94179335773,2633.543243855926
ARMM,PF,50,62615.32800000003,5565.173566622506,0.0
ARMM,PF,50,74621.10900000003,6424.981525928382,0.0
ARMM,PF,50,29568.06100000001,4265.8768816379825,0.0
