region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,1,243302.09000000003,27557.18483549292,0.0
ARMM,PF,1,98041.719,13620.203833369938,0.0
ARMM,PF,1,116599.21000000002,10318.776376251884,0.0
ARMM,PF,1,21066.311000000005,7302.549687903769,6805.784363683781
ARMM,PF,1,26179.943,2582.537613413504,0.0
ARMM,PF,1,23040.299000000006,3954.508708232949,1.0778773667659995
ARMM,PF,1,18463.852000000006,5888.349323875935,5487.786796264369
ARMM,PF,1,25606.15000000001,8355.455029228084,508.1882021503855
ARMM,PF,1,25441.725,8847.26179328413,945.0480217299263
ARMM,PF,1,32336.27100000001,3029.485260068456,0.0
ARMM,PF,1,28000.33800000001,3323.0303737903137,0.012974222890816638
ARMM,PF,1,24290.74000000001,8770.011837822494,3777.951407491045
ARMM,PF,1,14660.443000000005,4265.108151130145,3974.968689698053
ARMM,PF,1,25692.90800000001,2155.7354782630987,0.0
ARMM,PF,1,28644.793000000005,10294.592451013259,742.0374079967188
ARMM,PF,1,21983.363000000005,9569.3235396906,8918.358012042825
ARMM,PF,1,41782.48800000001,9800.013746231238,0.0
ARMM,PF,1,75756.96100000001,4921.959198721925,0.0
ARMM,PF,1,17893.768000000004,4194.627792469527,3909.282847982549
ARMM,PF,1,20441.686,3690.4879408504,5.654822800611544
ARMM,PF,1,20354.516000000007,2793.85881218468,0.0
ARMM,PF,1,29381.92200000001,7030.9498033096725,0.0
ARMM,PF,1,14467.27099999999,1574.300821239647,1467.2068023366712
ARMM,PF,1,9765.75679999997,615.2842151060324,0.0
ARMM,PF,1,14189.76599999998,839.8990688295552,0.0
ARMM,PF,1,26386.826,1946.9807514208637,0.0
ARMM,PF,1,24692.90000000001,8672.45691128772,1514.7711743201169
ARMM,PF,1,12662.072000000002,1763.240150897686,1643.2934743705414
ARMM,PF,1,16819.752000000008,2247.8488624906518,2094.9360557729683
ARMM,PF,1,14568.435,1865.0934629340925,1738.2180510614764
ARMM,PF,1,19211.766000000003,1272.136195996953,0.0
ARMM,PF,1,16270.782000000007,5802.811908085308,5408.068173074162
ARMM,PF,1,15593.180000000002,4541.145350286035,4232.228103752037
ARMM,PF,1,16000.623,4688.817931325505,4369.855067749012
ARMM,PF,1,13540.620999999996,4821.4738221879825,4493.486779705885
ARMM,PF,1,11936.803999999998,830.2802484489715,773.7993335599333
ARMM,PF,1,21340.802999999967,3666.4491667004095,1.7262567517753482
ARMM,PF,1,217936.58,30126.077833046427,0.0
ARMM,PF,1,18579.625,3938.2174522538003,3670.3150041670815
ARMM,PF,1,28168.06600000001,9648.887864115512,537.8493059401487
ARMM,PF,1,40491.92200000001,12594.176312502848,274.94111595389575
ARMM,PF,1,47652.73400000001,17925.19998080085,1055.2673729701019
ARMM,PF,1,32448.801,5283.489176241919,0.0
ARMM,PF,1,27148.196999999996,3674.37763599309,0.0
