,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,8610.108335066852,0.0,8610.108335066852,0.0,2828.8277638590325,0.0,2828.8277638590325,5905.865192958295,0.0,5905.865192958295,0.36695014971022366,2,36346.798828125,0.0,0,0.0,0.00972977836352264,0.0,-1,0.057803468208092484,0.057803468208092484,False,8431.743532850138,18393.042179400964,3521.055335090274,0.0,2789.882312756279,0.0,2789.882312756279,5905.865192958292,0.0,113.39183241173644,2.061203962142739e-05
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,37233.094412897175,0.0,37233.094412897175,0.0,12232.832283958753,0.0,12232.832283958753,51380.612460146,0.0,51380.612460146,1.0514242985570077,1,36346.798828125,0.0,0,0.0,0.006526245786778746,0.009257407349605437,-1,0.0,0.0,True,35037.60907324514,6342.193743086165,7826.217144792736,24176.8104080632,11747.097559092437,0.0,11747.097559092437,49340.418735793304,24176.8104080632,475.2828706508408,2.061203962142739e-05
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,58877.982920567185,0.0,58877.982920567185,0.0,19344.20175497422,0.0,19344.20175497422,101082.04377993297,0.0,101082.04377993297,1.388258190421231,1,36346.798828125,0.0,0,0.0,0.004589642686662065,0.007734511590442427,-1,0.0,0.0,True,54337.85221035463,12651.381966718296,15824.171935582746,42243.39891557158,18336.530975775742,0.0,18336.530975775742,95816.51651192317,42243.39891557158,1007.7646122572372,2.061203962142739e-05
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,78894.05580908769,0.0,78894.05580908769,0.0,25920.428267695934,0.0,25920.428267695934,102407.55842504543,0.0,102407.55842504543,0.9694916730157388,1,36346.798828125,0.0,0,0.0,0.004643500821149795,0.009702053293887,-1,0.0,0.0,True,74594.43492949265,12567.753115380605,15459.224066764657,49568.51100184126,24969.90766934826,0.0,24969.90766934826,98652.20019160096,49568.51100184126,928.0922654329646,2.061203962142739e-05
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,48547.575057080176,0.0,48547.575057080176,0.0,15950.17424231194,0.0,15950.17424231194,65769.93188170761,0.0,65769.93188170761,1.0262048635965797,1,36346.798828125,0.0,0,0.0,0.005775933677332381,0.009390411410563447,-1,0.0,0.0,True,45751.56715784055,8104.967153046253,9991.584135161096,31218.78605403801,15331.726159594233,0.0,15331.726159594233,63219.7849268979,31218.78605403801,604.6258964378887,2.061203962142739e-05
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,53428.783936902604,0.0,53428.783936902604,0.0,17553.88219383677,0.0,17553.88219383677,62781.19326592077,0.0,62781.19326592077,0.8464971077293423,1,36346.798828125,0.0,0,0.0,0.005978262876591123,0.010447843718486975,-1,0.0,0.0,True,50877.41729973524,7616.932446573448,9326.71550074149,31690.738043252688,16990.50775296703,0.0,16990.50775296703,60766.29312800475,31690.738043252688,550.7260973982636,2.061203962142739e-05
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,47844.58533055098,0.0,47844.58533055098,0.0,15719.208872455416,0.0,15719.208872455416,52845.85871980619,0.0,52845.85871980619,0.7759843583312171,1,36346.798828125,0.0,0,0.0,0.006551783832808397,0.01092860316801293,-1,0.0,0.0,True,45745.95465969324,6357.2269445881575,7765.324791906837,27318.099828172773,15256.11492589985,0.0,15256.11492589985,51288.99937196992,27318.099828172773,454.51597046955453,2.061203962142739e-05
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,29693.02814871281,0.0,29693.02814871281,0.0,9755.563943142228,0.0,9755.563943142228,56527.3864408114,0.0,56527.3864408114,1.5751785996167162,1,36346.798828125,0.0,0,0.0,0.006104348389754694,0.007040166419297814,-1,0.0,0.0,True,27108.88380042518,7098.568774431832,8945.407340877156,22080.006100574617,9181.010354781176,0.0,9181.010354781176,53198.208044818115,22080.006100574617,584.1814590523054,2.061203962142739e-05
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,82596.93526411754,0.0,82596.93526411754,0.0,27137.482037005564,0.0,27137.482037005564,112549.71015905513,0.0,112549.71015905513,1.0340847132999507,1,36346.798828125,0.0,0,0.0,0.004413495638762264,0.009348532216467222,-1,0.0,0.0,True,77804.4707081898,13877.022764623289,17112.495295110846,53278.31165399523,26077.340221655093,0.0,26077.340221655093,108152.8894445834,53278.31165399523,1036.6907277646924,2.061203962142739e-05
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,58306.997594902874,0.0,58306.997594902874,0.0,19156.606073347673,0.0,19156.606073347673,93060.11797538096,0.0,93060.11797538096,1.267489580161367,1,36346.798828125,0.0,0,0.0,0.004803528445287456,0.00823372648693862,-1,0.0,0.0,True,54187.855759383434,11606.23505600405,14446.345977434743,40598.91248741015,18243.4131520565,0.0,18243.4131520565,88623.95424866145,40598.91248741015,904.6555128943976,2.061203962142739e-05
