region,hazard,new_pov,new_sub,reg_pop,init_pov,init_sub,pct_increase_pov,pct_increase_sub,pct_pop_pov,pct_pop_sub
ARMM,EQ,2098.463898795859,3353.2044509744132,3706900.4411800015,1207449.82747,783053.5235900002,1.7379305135956031,4.282216157589402,0.5660966438386095,0.9045844376405756
ARMM,HU,157.73194903797236,214.04243758102967,3706900.441180005,1207449.82747,783053.5235899996,0.13063230077929786,0.2733433042989543,0.042550899745168784,0.05774162025050078
ARMM,PF,166.3583618537761,228.56134924748667,3706900.4411799996,1207449.8274699997,783053.52359,0.1377766248079649,0.2918847082120524,0.044878022621190235,0.0616583457997404
ARMM,SS,0.10659909989332536,0.15412351624062923,3706900.441180001,1207449.8274699987,783053.52359,8.828449635599787e-05,0.0001968237311978778,2.8756936309676595e-05,4.1577463081681195e-05
CAR,EQ,447.296622845622,404.1155428872686,1783500.1087300004,226826.77380000008,124763.20586000002,1.9719745396547266,3.239060267020847,0.2507970819043763,0.2265856564343202
CAR,HU,1360.9442964693146,893.9283338262147,1783500.1087299997,226826.7738,124763.20586,5.99992793473887,7.164999710165469,0.7630749725260293,0.5012213508990285
CAR,PF,938.5897721484422,564.014300338802,1783500.108730001,226826.77380000005,124763.20586000002,4.137914393545203,4.520678163493946,0.5262628062393534,0.3162401266913444
I - Ilocos,EQ,5906.270597251011,5122.56791881987,5135999.787279991,498991.9861599999,172094.47820000007,11.836403712017106,29.766021387779006,1.1499748523897335,0.9973847607055227
I - Ilocos,HU,12604.576710615856,5278.440645900797,5135999.7872800045,498991.9861599999,172094.47820000004,25.260078438562832,30.671760657924445,2.454162233774384,1.0277338131854223
I - Ilocos,PF,2726.1155725440112,1076.1384943153078,5135999.787280003,498991.98616000003,172094.4782,5.46324519863109,6.25318432974166,0.5307857643015494,0.20952853171460603
I - Ilocos,SS,155.9483039092731,63.88232074925564,5135999.787279992,498991.9861599999,172094.4782,0.3125266702364813,0.3712049417123927,0.03036376759506503,0.012438147078484887
II - Cagayan Valley,EQ,2014.5665703968377,1327.3673893809425,3497900.2975200024,462614.59881,91000.91564,4.3547405887729855,14.586308061250872,0.5759359613037449,0.379475478566968
II - Cagayan Valley,HU,18833.690192924158,11787.2717672676,3497900.2975200135,462614.59881000017,91000.91564,40.71140478785305,129.52915566144517,5.3842844538127945,3.369813535172713
II - Cagayan Valley,PF,1987.8095323773075,1238.066840636861,3497900.2975199968,462614.5988100001,91000.91564000002,4.296901864944643,13.60499322374577,0.5682865042741956,0.35394572038392497
II - Cagayan Valley,SS,1314.2949693970663,774.2635023307483,3497900.297520001,462614.59880999994,91000.91564,2.841014902637907,8.508304525129592,0.37573825941491157,0.22135093526813743
III - Central Luzon,EQ,6889.511854459461,5346.920632056417,11098900.305219987,904508.94185,337561.9636,7.616853229077297,15.839819673499543,0.6207382411768502,0.48175228941750886
III - Central Luzon,HU,16781.547007422923,8642.095433828437,11098900.305219993,904508.9418499998,337561.96359999996,18.55321294347791,25.601508362088573,1.5120008780987328,0.7786442977385715
III - Central Luzon,PF,7879.726821363929,3628.1968973706503,11098900.30522001,904508.9418500002,337561.96359999996,8.711607433363183,10.74823969702329,0.7099556356640084,0.3268969715553031
III - Central Luzon,SS,475.0468509821752,237.61133274713296,11098900.305220004,904508.9418499998,337561.96359999996,0.5251986232557943,0.703904344592256,0.042801253990789746,0.021408547352694055
IVA - CALABARZON,EQ,7114.386489865897,5612.877165275142,14127199.834489996,957267.2337000001,330698.8042000001,7.4319753558967925,16.972777324832975,0.503594949686838,0.3973099574603541
IVA - CALABARZON,HU,17231.798107122464,8925.373028358297,14127199.834490003,957267.2336999999,330698.8042000001,18.0010320007702,26.98943242310731,1.2197603423895034,0.631786421437034
IVA - CALABARZON,PF,7602.107476168081,3559.160629554833,14127199.834490007,957267.2337000002,330698.8042000001,7.941468388910217,10.762544600561434,0.538118492357443,0.2519367370216944
IVA - CALABARZON,SS,1110.4834799549742,516.6301283062112,14127199.834489983,957267.2336999999,330698.8042000001,1.160055876625765,1.5622376668582194,0.07860605731957247,0.03656988889227123
IVB - MIMAROPA,EQ,1275.6184575771674,1369.1124126538873,3089300.040979999,479538.30569999997,274683.8326000001,2.6600971025976734,4.984321063583001,0.4129150424548957,0.44317884132082314
