district,hazard,dk_tot,dw_tot,resilience
Ampara,PF,35.80172358697976,101.08482876299993,0.35417504313055
Anuradhapura,PF,49.19289072285783,117.89938195520138,0.4172446870124376
Badulla,PF,35.15062611713763,108.66632873341806,0.32347302542418355
Batticaloa,PF,88.09712619925939,417.33220174031203,0.21109592270111585
Colombo,PF,4265.135764227353,4670.912759857532,0.9131268305592255
Galle,PF,68.73895383220824,169.87160068986208,0.40465241719659956
Gampaha,PF,873.9419037403622,1068.9528623447122,0.8175682338540168
Hambantota,PF,165.98965083003296,354.26346177464643,0.46854860503684137
Kalutara,PF,934.8890658481453,1539.594783103705,0.6072306012647566
Kandy,PF,48.916329740181126,96.02208066670384,0.5094279294985442
Kegalle,PF,122.2848881328207,285.3682481257848,0.4285160978348225
Kurunegala,PF,247.23603185097207,568.9896173443839,0.4345176507875208
Mannar,PF,55.92987043462832,374.07179534649225,0.149516406022598
Matale,PF,20.32500595441932,42.23230745732639,0.4812667641936617
Moneragala,PF,4.382099704331393,20.680900863419616,0.21189114213503402
Mullaitivu,PF,3.4535859010488954,32.37442825131428,0.1066763519108231
Nuwara Eliya,PF,0.17607343581168627,0.5617917872730909,0.3134140437800593
Polonnaruwa,PF,321.1180997017579,556.7520515445929,0.5767703932313899
Puttalam,PF,355.59414654244256,916.569411317805,0.38796204864744965
Rathnapura,PF,984.5017519601181,3087.69567714439,0.31884675657888023
Trincomalee,PF,149.82028490254143,452.9737508779678,0.3307482709807248
Vavuniya,PF,6.5735465465021194,17.220714907570688,0.38172320846053914
