region,hazard,rp,hhid,affected_cat,helped_cat,index,axfin,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_npv_pre,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,has_ew,help_received,hh_reco_rate,integ,ispoor,macro_multiplier,pc_fee,pc_fee_BE,pcsoc,pcwgt,pcwgt_ae,pov_line,province,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_pov_bool,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh
I - Ilocos,EQ,2000,133620882,a,helped,295047,0.0,122096.52000000002,15573.959716184301,0.005723719637423251,115991.69400000059,106127.36453020704,9864.329469793545,9175.298421307312,653344.0999649661,0.0,9175.298421307312,115991.69400000059,106127.36453020704,9864.329469793545,3848.832676780526,0.4542562559960759,3849.2867754065574,363833.72182387306,332892.0605675776,12072.718909255622,30941.661256295476,-500.0,,1.0,37218.626563049686,0.441160908817113,,0.0,5.63268004315001,67.81986999559349,1302.168102302352,0.0,1972.759645,1972.759645,22302.6775,La Union,0.0,4108.387031075645,100081.28918597287,10415.083371286517,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,2.3439323403415796e-08
I - Ilocos,EQ,2000,1331400571,a,helped,295245,0.0,80305.117,15573.959716184301,0.007057621867674911,76289.86115000038,69801.91102498192,6487.950125018457,489.62515878646445,429716.37839429243,0.0,1076.0681639316285,76289.86115000038,69801.91102498192,6487.950125018457,324.7365857766058,0.2987726577771981,325.0352008044186,239300.10126096616,218949.20405798955,448.9701361911856,20350.897202976586,-500.0,,1.0,37218.626563049686,0.7373127102127691,,0.0,5.63268004315001,44.60637039385652,856.4598058082111,0.0,3140.9989649999998,3140.9989649999998,22302.6775,La Union,272.1408341229959,588.8511570340028,65825.29655710405,489.62515878646445,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,4.394254146765586e-08
I - Ilocos,EQ,2000,1333706146,a,helped,295260,0.0,81197.81300000002,15573.959716184301,0.007018718583392244,77137.92235000039,70577.85020659544,6560.072143404951,701.6404587864672,434493.23579090234,0.0,1159.6357700643389,77137.92235000039,70577.85020659544,6560.072143404951,353.6451072609383,0.30209390512071516,353.9470435360946,241960.23365570835,221383.10971640176,494.95075090736566,20577.123939306584,-500.0,,1.0,37218.626563049686,0.7263125945152709,,0.0,5.63268004315001,45.102228315651516,865.980472378011,0.0,1509.736105,1509.736105,22302.6775,La Union,104.61896503421679,801.5044270313628,66557.03048802332,701.6404587864672,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,4.321987455125326e-08
I - Ilocos,EQ,2000,1333709217,a,helped,295263,0.0,104226.06000000004,15573.959716184301,0.0061950074833168525,99014.7570000005,90594.20418507613,8420.552814924376,4693.476275467754,557718.4457312507,0.0,4693.476275467754,99014.7570000005,90594.20418507613,8420.552814924376,1765.2406661734822,0.38776977257683,1765.6282783160946,310581.786613069,284168.8516449116,5537.069589558266,26412.93496815739,-500.0,,1.0,37218.626563049686,0.5287721148878022,,0.0,5.63268004315001,57.893524232737555,1111.57837062556,0.0,1294.0595999999998,1294.0595999999998,22302.6775,La Union,0.0,3876.8093368884565,85433.05289597576,6170.849121286497,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,2.9719090807600568e-08
I - Ilocos,EQ,2000,13314591215,a,helped,295608,0.0,106934.70000000003,15573.959716184301,0.006116044941074956,101587.96500000049,92948.57779589728,8639.38720410321,5281.066649619872,572212.5030797245,0.0,5281.066649619872,101587.96500000049,92948.57779589728,8639.38720410321,2024.0185845571582,0.3978471823608369,2024.4162741095547,318653.22527717677,291553.8676219088,6348.784031554145,27099.357655267977,-500.0,,1.0,37218.626563049686,0.5129565534635312,,0.0,5.63268004315001,59.39806844632264,1140.4662095960746,0.0,1388.77327,1388.77327,22302.6775,La Union,0.0,4024.4164431101335,87653.29785578864,6814.151121286493,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,2.8597101507157897e-08
I - Ilocos,EQ,2000,13314591433,a,helped,295610,0.0,119456.95000000001,15573.959716184301,0.005786610951618647,113484.10250000055,103833.02716831498,9651.075331685572,8427.376820926456,639219.6393665433,0.0,8427.376820926456,113484.10250000055,103833.02716831498,9651.075331685572,3485.5999976020485,0.4444358189710111,3486.044275791055,355968.1038921364,325695.3616255245,10933.358899964252,30272.742266611906,-500.0,,1.0,37218.626563049686,0.4519500905756929,,0.0,5.63268004315001,66.35369148170737,1274.0168998127626,0.0,1620.2355449999998,1620.2355449999998,22302.6775,La Union,0.0,4179.353239609854,97917.66021033443,9788.185496286507,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,2.4220486759534067e-08
I - Ilocos,EQ,2000,13314591651,a,helped,295612,0.0,106754.15000000001,15573.959716184301,0.006121214695186252,101416.4425000005,92791.64215460359,8624.800345396907,5240.828635528267,571246.3717170233,0.0,5240.828635528267,101416.4425000005,92791.64215460359,8624.800345396907,2006.134207440905,0.3971754517740839,2006.5312252627145,318115.2068432746,291061.60411156894,6292.685708783653,27053.60273170566,-500.0,,1.0,37218.626563049686,0.5139772682037741,,0.0,5.63268004315001,59.297779940739474,1138.540630956563,0.0,2777.54654,2777.54654,22302.6775,La Union,0.0,4015.893896401987,87505.30283707287,6771.2704962864955,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,2.8669680266229703e-08
I - Ilocos,EQ,2000,13314591869,a,helped,295614,0.0,89749.64100000002,15573.959716184301,0.006675958612741827,85262.15895000042,78011.17400284803,7250.984947152392,2160.619431598667,480254.4611535514,0.0,2160.619431598667,85262.15895000042,78011.17400284803,7250.984947152392,721.0571169400981,0.33391071176845916,721.3908700219022,267443.7069736834,244699.38150317752,2261.7558676564054,22744.325470505857,-500.0,,1.0,37218.626563049686,0.636332409769791,,0.0,5.63268004315001,49.85243629196965,957.1863285152384,0.0,2314.622085,2314.622085,22302.6775,La Union,0.0,2340.997198033032,73566.87787054249,2732.6996087864754,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,3.719211875589466e-08
I - Ilocos,EQ,2000,13362020221,a,helped,295647,0.0,81040.10900000001,15573.959716184301,0.007025544475135903,76988.10355000036,70440.77250859165,6547.331041408724,664.1857587864615,433649.3544260535,0.0,1144.5914656240593,76988.10355000036,70440.77250859165,6547.331041408724,348.4167715041821,0.30150717235719654,348.71812104657494,241490.29369946293,220953.13505766657,486.59530419361,20537.15864179636,-500.0,,1.0,37218.626563049686,0.728230475159364,,0.0,5.63268004315001,45.01462987486236,864.2985479594812,0.0,1409.11391,1409.11391,22302.6775,La Union,133.95841798579454,764.127321827418,66427.76210568297,664.1857587864615,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,4.3346094679709166e-08
I - Ilocos,EQ,2000,13371417150,a,helped,295684,0.0,85101.711,15573.959716184301,0.006855842781299344,80846.62545000037,73971.15253932975,6875.472910670617,1571.0947355007816,455383.1737282408,0.0,1571.0947355007816,80846.62545000037,73971.15253932975,6875.472910670617,500.3461055990429,0.3166182346369909,500.6625662037155,253593.40501031175,232026.95648177748,1569.4467381447114,21566.44852853426,-500.0,,1.0,37218.626563049686,0.6820442792231706,,0.0,5.63268004315001,47.27069187903614,907.6158232483053,0.0,1785.859685,1785.859685,22302.6775,La Union,0.0,1574.0238149065135,69757.0164064634,1628.8162337864633,0.03998039041732496,True,1.1111111111111112,0.0,0.0,3.0,4.028028755672929e-08
