,district,hazard,rp,level_0,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,8610.108335066852,0.0,8610.108335066852,0.0,2828.8277638590325,0.0,2828.8277638590325,5905.865192958295,0.0,5905.865192958295,0.3820639764532683,2,36346.798828125,0.0,0,0.0,0.00972977836352264,0.0,-1,0.11560693641618495,0.11560693641618495,False,8250.007890002,18052.899435524792,3521.055335090274,0.0,2730.544950863636,0.0,2730.544950863636,5905.86519295829,0.0,113.37534301909876,1.9407760449377573e-05
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,37233.094412897175,0.0,37233.094412897175,0.0,12232.832283958753,0.0,12232.832283958753,51380.612460146,0.0,51380.612460146,1.0514242985570077,1,36346.798828125,0.0,0,0.0,0.006526245786778746,0.018460719482026704,-1,0.0,0.0,True,32971.58264515103,5028.08235514726,7826.217144792736,24176.8104080632,11054.418616309857,0.0,11054.418616309857,46431.01333463482,24176.8104080632,419.78897693257295,1.9407760449377573e-05
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,58877.982920567185,0.0,58877.982920567185,0.0,19344.20175497422,0.0,19344.20175497422,101082.04377993297,0.0,101082.04377993297,1.388258190421231,1,36346.798828125,0.0,0,0.0,0.004589642686662065,0.015423826932248749,-1,0.0,0.0,True,50147.81479212227,9911.53889968418,15824.171935582746,42243.39891557158,16922.585672754798,0.0,16922.585672754798,88428.02445457365,42243.39891557158,867.2915690792173,1.9407760449377573e-05
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,78894.05580908769,0.0,78894.05580908769,0.0,25920.428267695934,0.0,25920.428267695934,102407.55842504543,0.0,102407.55842504543,0.9694916730157388,1,36346.798828125,0.0,0,0.0,0.004643500821149795,0.01934741310327614,-1,0.0,0.0,True,70529.1376566467,9990.014793252736,15459.224066764657,49568.51100184126,23609.08098506055,0.0,23609.08098506055,93275.7867798197,49568.51100184126,825.4620352033911,1.9407760449377573e-05
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,48547.575057080176,0.0,48547.575057080176,0.0,15950.17424231194,0.0,15950.17424231194,65769.93188170761,0.0,65769.93188170761,1.0262048635965797,1,36346.798828125,0.0,0,0.0,0.005775933677332381,0.018725950401072396,-1,0.0,0.0,True,43116.590168248185,6430.936350796221,9991.584135161096,31218.78605403801,14448.723715068376,0.0,14448.723715068376,59578.75820546008,31218.78605403801,535.160264880031,1.9407760449377573e-05
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,53428.783936902604,0.0,53428.783936902604,0.0,17553.88219383677,0.0,17553.88219383677,62781.19326592077,0.0,62781.19326592077,0.8464971077293423,1,36346.798828125,0.0,0,0.0,0.005978262876591123,0.020834635961791546,-1,0.0,0.0,True,48447.885210120716,6076.271060155885,9326.71550074149,31690.738043252688,16179.165786422423,0.0,16179.165786422423,57864.540897704755,31690.738043252688,495.2691350491175,1.9407760449377573e-05
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,47844.58533055098,0.0,47844.58533055098,0.0,15719.208872455416,0.0,15719.208872455416,52845.85871980619,0.0,52845.85871980619,0.7759843583312171,1,36346.798828125,0.0,0,0.0,0.006551783832808397,0.02179334556598872,-1,0.0,0.0,True,43739.377262204616,5080.157194314616,7765.324791906837,27318.099828172773,14586.928423803038,0.0,14586.928423803038,49039.28466724474,27318.099828172773,411.49131006667744,1.9407760449377573e-05
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,29693.02814871281,0.0,29693.02814871281,0.0,9755.563943142228,0.0,9755.563943142228,56527.3864408114,0.0,56527.3864408114,1.5751785996167162,1,36346.798828125,0.0,0,0.0,0.006104348389754694,0.01403919396276547,-1,0.0,0.0,True,24749.634063065823,5523.532842596946,8945.407340877156,22080.006100574617,8381.999357955428,0.0,8381.999357955428,48568.439468519995,22080.006100574617,496.31601305315434,1.9407760449377573e-05
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,82596.93526411754,0.0,82596.93526411754,0.0,27137.482037005564,0.0,27137.482037005564,112549.71015905513,0.0,112549.71015905513,1.0340847132999507,1,36346.798828125,0.0,0,0.0,0.004413495638762264,0.0186424367319481,-1,0.0,0.0,True,73290.07599161362,11007.969439339018,17112.495295110846,53278.31165399523,24564.272650930325,0.0,24564.272650930325,101877.60933774695,53278.31165399523,916.9763318429234,1.9407760449377573e-05
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,58306.997594902874,0.0,58306.997594902874,0.0,19156.606073347673,0.0,19156.606073347673,93060.11797538096,0.0,93060.11797538096,1.267489580161367,1,36346.798828125,0.0,0,0.0,0.004803528445287456,0.016419339586864517,-1,0.0,0.0,True,50359.713806571206,9132.554399097908,14446.345977434743,40598.91248741015,16954.593465963266,0.0,16954.593465963266,82363.04813733847,40598.91248741015,785.4826130830047,1.9407760449377573e-05
