,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,8610.108335066852,0.0,8610.108335066852,0.0,2828.8277638590325,0.0,2828.8277638590325,5905.865192958295,0.0,5905.865192958295,2.209812927683536,2,36346.798828125,0.0,0,0.0,0.00972977836352264,0.0,-1,4.836223506743741,4.836223506743741,False,1.7444738477478976,6805.575688157229,3521.055335090274,0.0,0.598072545609241,0.0,0.598072545609241,4.620715499749076,0.0,0.08716234784420956,1.4387469025924193e-06
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,37233.094412897175,0.0,37233.094412897175,0.0,12232.832283958753,0.0,12232.832283958753,51380.612460146,0.0,51380.612460146,1.0514242985570077,1,36346.798828125,0.0,0,0.0,0.006526245786778746,0.23232187819535755,-1,0.0,0.0,True,230.44918239172694,0.09824036069608155,7826.217144792736,0.0,77.26294971524935,0.0,77.26294971524935,324.52154862391967,324.52154862391967,0.0,1.4387469025924193e-06
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,58877.982920567185,0.0,58877.982920567185,0.0,19344.20175497422,0.0,19344.20175497422,101082.04377993297,0.0,101082.04377993297,1.388258190421231,1,36346.798828125,0.0,0,0.0,0.004589642686662065,0.15882646616224008,-1,0.0,0.0,True,71.47127361933991,0.09899600804572373,15824.171935582746,0.0,24.11827426534599,0.0,24.11827426534599,126.02869252845956,126.02869252845956,0.0,1.4387469025924193e-06
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,78894.05580908769,0.0,78894.05580908769,0.0,25920.428267695934,0.0,25920.428267695934,102407.55842504543,0.0,102407.55842504543,0.9694916730157388,1,36346.798828125,0.0,0,0.0,0.004643500821149795,0.25838376870441754,-1,0.0,0.0,True,725.7334125725793,0.17165514988328212,15459.224066764657,0.0,242.93362261711533,0.0,242.93362261711533,959.7927509004695,950.7158663135048,0.003236653333765105,1.4387469025924193e-06
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,48547.575057080176,0.0,48547.575057080176,0.0,15950.17424231194,0.0,15950.17424231194,65769.93188170761,0.0,65769.93188170761,1.0262048635965797,1,36346.798828125,0.0,0,0.0,0.005775933677332381,0.2398906000456024,-1,0.0,0.0,True,339.4556961317908,0.09994589171528645,9991.584135161096,0.0,113.75439355884774,0.0,113.75439355884774,469.0618799488383,469.0618799488383,0.0,1.4387469025924193e-06
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,53428.783936902604,0.0,53428.783936902604,0.0,17553.88219383677,0.0,17553.88219383677,62781.19326592077,0.0,62781.19326592077,0.8464971077293423,1,36346.798828125,0.0,0,0.0,0.005978262876591123,0.307270036809986,-1,0.0,0.0,True,890.9209419591612,0.16629519164573736,9326.71550074149,0.0,297.5229478033388,0.0,297.5229478033388,1064.0863075659743,1055.3136644767544,0.0027345403238179244,1.4387469025924193e-06
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,47844.58533055098,0.0,47844.58533055098,0.0,15719.208872455416,0.0,15719.208872455416,52845.85871980619,0.0,52845.85871980619,0.7759843583312171,1,36346.798828125,0.0,0,0.0,0.006551783832808397,0.3423635190410058,-1,0.0,0.0,True,1122.012735369669,0.18030003572268072,7765.324791906837,0.0,374.1872995429081,0.0,374.1872995429081,1257.967199675074,1248.4686666469524,0.002716014915499443,1.4387469025924193e-06
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,29693.02814871281,0.0,29693.02814871281,0.0,9755.563943142228,0.0,9755.563943142228,56527.3864408114,0.0,56527.3864408114,1.5751785996167162,1,36346.798828125,0.0,0,0.0,0.006104348389754694,0.1324420044449686,-1,0.0,0.0,True,14.59606225800822,0.09987151128667637,8945.407340877156,0.0,4.943272460657432,0.0,4.943272460657432,28.643169610120964,28.643169610120964,0.0,1.4387469025924193e-06
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,82596.93526411754,0.0,82596.93526411754,0.0,27137.482037005564,0.0,27137.482037005564,112549.71015905513,0.0,112549.71015905513,1.0340847132999507,1,36346.798828125,0.0,0,0.0,0.004413495638762264,0.23748166848004668,-1,0.0,0.0,True,555.9414911980571,0.14736379846949355,17112.495295110846,0.0,186.36122216331,0.0,186.36122216331,772.821136491746,765.0190458157075,0.0029655016468534967,1.4387469025924193e-06
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,58306.997594902874,0.0,58306.997594902874,0.0,19156.606073347673,0.0,19156.606073347673,93060.11797538096,0.0,93060.11797538096,1.267489580161367,1,36346.798828125,0.0,0,0.0,0.004803528445287456,0.18037896596810715,-1,0.0,0.0,True,126.92730111146497,0.0983640844851319,14446.345977434743,0.0,42.73258577962751,0.0,42.73258577962751,207.58893609959188,207.58893609959188,0.0,1.4387469025924193e-06
