,,,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
Colombo,PF,5,199463.1349986845,303332.1405299953,405051.66664232453,556577.003761075,1242724.469082308,26637.770638598005,38956.30732247814,52030.35650286924,72190.36423632588,164701.43395580375,28442.25985427561,58805.34451939703,92000.35540446686,141652.51587342363,369639.9124446878,130271.49430773116,77682.30920576504,65453.20180205153,57744.48260367172,41654.87531716058,0,0,0,0,0,0,0,0,0,0
Colombo,PF,10,199463.13499868452,303332.1405299953,405051.6666423246,556577.003761075,1242724.4690823085,27008.646325946138,39013.30544003946,53502.87370237759,70740.31545148934,159684.3407303073,28490.02648039374,58625.79537386768,91972.98367349833,141597.02848971292,369376.1297325099,130216.59098587935,77581.99979457686,68367.38692135706,55720.720915712416,40771.756372422446,0,0,0,0,0,0,0,0,0,0
Colombo,PF,25,199463.1349986845,303332.14052999526,405051.66664232465,556577.0037610747,1242724.4690823085,26624.078483109835,37746.57439089899,52640.045010600916,72217.91618469867,162575.71016181613,28308.604570220366,58407.17428906524,91890.30682480993,141519.40126308627,369627.2630998194,128844.10820755616,75468.2446557481,68115.74305047568,57823.96764884112,40848.30254233182,0,0,0,0,0,0,0,0,0,0
Colombo,PF,50,199463.13499868446,303332.1405299953,405051.6666423245,556577.003761075,1242724.4690823085,27377.451763588986,38494.705141666986,50859.831722412295,71542.99689554272,160040.9518323949,28558.561142483486,58404.508094402845,91755.42923292465,141601.1273890167,369691.1566767676,134067.03452759123,76130.56453963052,64087.606642657636,57990.430456443224,39895.70620447584,0,0,0,0,0,0,0,0,0,0
Colombo,PF,100,199463.13499868452,303332.1405299953,405051.6666423246,556577.0037610749,1242724.4690823082,26708.055250570593,38489.09061663581,53058.114706468295,72895.42553661291,157920.4086632792,28482.62198094278,58352.096340102486,92084.68918935405,141408.84887064883,369613.62671197846,127718.8818648802,76564.87395255158,67551.39231868912,58639.99657445939,40220.68589278057,0,0,0,0,0,0,0,0,0,0
Colombo,PF,250,199463.1349986845,303332.1405299954,405051.6666423246,556577.0037610749,1242724.4690823082,27501.39457984824,38434.09781678724,52337.1762687448,72109.54726642289,159725.0395939127,28776.339564349833,58139.04780158198,91901.5745586762,141582.56249174153,369665.44370720314,136866.72221743382,76928.30798436832,66984.15939552976,57180.23028301878,40056.799127362414,0,0,0,0,0,0,0,0,0,0
Colombo,PF,500,199463.13499868452,303332.1405299953,405051.66664232465,556577.003761075,1242724.4690823085,26925.354853661636,38965.77057170185,52409.63769266482,70892.43965548759,159231.6202120822,28564.952058869705,58590.32103166201,91892.39146941842,141635.68730638784,369666.6726857531,133218.74180497444,78127.36038199133,66929.96119655913,55961.32420338466,39839.01338008649,0,0,0,0,0,0,0,0,0,0
Colombo,PF,1000,199463.13499868452,303332.1405299954,405051.6666423246,556577.0037610749,1242724.4690823082,27003.14916768835,38549.01651617128,52341.312123940705,70290.90996320538,161422.50437839804,28552.82892428821,58479.077589273154,91876.15964172389,141666.31892957204,368957.6902213712,131509.67679892137,76965.13817798458,66366.73274065183,55175.746024201726,42047.40817223743,0,0,0,0,0,0,0,0,0,0
