district,hazard,rp,dk_tot,dw_tot,res_tot,dk_lim,dw_lim,res_lim,dk_sub,dw_sub,res_sub,ratio_dw_lim_tot,avg_reco_t,sub_avg_reco_t,non_sub_avg_reco_t,pct_subs
Ampara,PF,5.0,153.28575545638049,434.5767342250013,0.35272425646472155,,,,153.28575545638049,434.5767342250013,0.35272425646472155,,7.475204401495544,,7.475204401495544,0.039088576254709274
Ampara,PF,10.0,186.74603950593504,520.4800884381416,0.35879574195878117,,,,186.74603950593504,520.4800884381416,0.35879574195878117,,6.293326149091027,,6.293326149091027,0.04654907042975039
Ampara,PF,25.0,216.9581934366902,617.8033837589669,0.35117676455028196,,,,216.9581934366902,617.8033837589669,0.35117676455028196,,6.554596897010146,,6.554596897010146,0.04143184471047843
Ampara,PF,50.0,231.49098757640914,668.1156757778156,0.34648339497035296,,,,231.49098757640914,668.1156757778156,0.34648339497035296,,5.656244593458029,,5.656244593458029,0.04210338449956412
Ampara,PF,100.0,245.03638410546927,684.9620379934639,0.3577371744911321,,,,245.03638410546927,684.9620379934639,0.3577371744911321,,5.324881304555668,,5.324881304555668,0.042375329037672084
Ampara,PF,250.0,265.39680615813955,767.8318895726494,0.3456444174334188,,,,265.39680615813955,767.8318895726494,0.3456444174334188,,8.25129041120843,,8.25129041120843,0.04614605962222138
Ampara,PF,500.0,300.5341007991335,846.2323495660854,0.3551437154975646,,,,300.5341007991335,846.2323495660854,0.3551437154975646,,3.382527198953539,,3.382527198953539,0.04811225008691989
Ampara,PF,1000.0,312.7659087394808,869.4572445816565,0.35972546170452535,,,,312.7659087394808,869.4572445816565,0.35972546170452535,,3.816380306070399,,3.816380306070399,0.048839957673978335
Anuradhapura,PF,5.0,192.7748626638431,470.6438508222614,0.4095981756205809,,,,192.7748626638431,470.6438508222614,0.4095981756205809,,3.1678202761806045,,3.1678202761806045,0.06746774262669171
Anuradhapura,PF,10.0,282.0662958883554,668.6584354043258,0.421839134830917,,,,282.0662958883554,668.6584354043258,0.421839134830917,,5.392940597208517,,5.392940597208517,0.05847493656105946
