,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,dk0,c,dc0,pc_fee,dw,dc_t
0,ARMM,EQ,1,153893114,not_helped,na,809.987216360027,0.0,98041.71900000001,0.0,0.11169537864020947,3.688980981992362e-10,0.0
1,ARMM,EQ,1,156627419,not_helped,na,1759.0720828109459,0.0,116599.21000000002,0.0,0.13283725584308959,3.3827045763903886e-10,0.0
2,ARMM,EQ,1,156642019,not_helped,na,742.5139895272254,0.0,21066.311000000005,0.0,0.02400008494034473,7.95825094066862e-10,0.0
3,ARMM,EQ,1,157260118,not_helped,na,2510.5516911107525,0.0,23040.299000000003,0.0,0.02624897795589079,7.609704972829065e-10,0.0
4,ARMM,EQ,1,157260240,not_helped,na,2510.5516911107525,0.0,18463.852000000006,0.0,0.021035197682496665,8.500622295125312e-10,0.0
5,ARMM,EQ,1,157260362,not_helped,na,1476.7951418026473,0.0,25606.150000000012,0.0,0.029172159045558966,7.2183798545775e-10,0.0
6,ARMM,EQ,1,157260484,not_helped,na,1772.1540702556808,0.0,25441.725000000002,0.0,0.028984835599782606,7.241667792627779e-10,0.0
7,ARMM,EQ,1,157640114,not_helped,na,994.8934724618925,0.0,32336.271000000008,0.0,0.03683954208470606,6.423428687834814e-10,0.0
8,ARMM,EQ,1,157640230,not_helped,na,994.8934724618925,0.0,28000.33800000001,0.0,0.03189977069826617,6.902878638517478e-10,0.0
9,ARMM,EQ,1,157640347,not_helped,na,994.8934724618925,0.0,24290.74000000001,0.0,0.027673560086710455,7.411250662825419e-10,0.0
