,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.664021083285,0.7950000000000005,17130,0,17130.0,1.9071762903082027e-05,0.0,0.017,5905.8651929582875,0.0,5905.8651929582875,2,36346.798828125,0,0.009729778363522642,0.013309995501917695,-1,0.1926782273603083,0.1926782273603083,17074.970000000012,3409.56,3521.06,5326.0,8.031,86522.96616138525,5611.77,5611.77,0,5902.14,5326.0,11.08
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.6057375128,0.8450000000000005,34666,0,34666.0,1.9071762903082027e-05,0.0,0.8450000000000005,40682.19037030431,0.0,40682.19037030431,1,36346.798828125,0,0.006526245786778747,0.024515015829412543,-1,0.0,0.0,29457.429999999997,4475.16,7826.22,20151.0,0.841,212335.71595352507,9837.02,9837.02,0,35137.13,20151.0,283.27
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699293,0.8450000000000005,71724,0,71724.0,1.9071762903082027e-05,0.0,0.8450000000000005,84171.50585933498,0.0,84171.50585933498,1,36346.798828125,0,0.004589642686662065,0.025557710372847212,-1,0.0,0.0,60947.46,8984.180000000002,15824.17,42177.0,0.827,188281.24570526535,20352.81,20352.81,0,72698.78,42177.0,576.75
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.68880117586,1.1150000000000009,47901,0,47901.0,1.9071762903082027e-05,0.0,1.1150000000000009,69147.35875924386,0.0,69147.35875924386,1,36346.798828125,0,0.004643500821149795,0.01554456286865601,-1,0.0,0.0,38640.48,8647.810000000001,15459.22,26873.0,0.853,159989.70033137198,12970.92,12970.92,0,56990.67,26873.0,568.59
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193315,0.9650000000000006,38133,0,38133.0,1.9071762903082027e-05,0.0,0.9650000000000006,49326.838826250925,0.0,49326.838826250925,1,36346.798828125,0,0.005775933677332382,0.020553098148612538,-1,0.0,0.0,31662.909999999996,5589.55,9991.58,22166.0,0.836,196081.40009576248,10598.0,10598.0,0,41726.14,22166.0,369.45
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889785,0.7550000000000004,48577,0,48577.0,1.9071762903082027e-05,0.0,0.7550000000000004,52635.476727579546,0.0,52635.476727579546,1,36346.798828125,0,0.005978262876591124,0.02988520509007645,-1,0.0,0.0,42000.35999999999,5328.84,9326.72,28237.0,0.836,302223.39321415854,14001.31,14001.31,0,46176.25,28237.0,339.21
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288203,0.8450000000000005,33115,0,33115.0,1.9071762903082027e-05,0.0,0.8450000000000005,38862.018522835846,0.0,38862.018522835846,1,36346.798828125,0,0.006551783832808398,0.023102089447991893,-1,0.0,0.0,28139.46,4520.940000000001,7765.32,19025.0,0.855,173859.01891621322,9396.9,9396.9,0,33565.05,19025.0,274.92
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052586,0.6450000000000004,56196,0,56196.0,1.9071762903082027e-05,0.0,0.6450000000000004,54709.4635334224,0.0,54709.4635334224,1,36346.798828125,0,0.0061043483897546946,0.037413131340663416,-1,0.0,0.0,49628.630000000005,5253.619999999999,8945.41,32286.0,0.833,254541.66358626328,16509.25,16509.25,0,48920.02,32286.0,314.67
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133014,1.2150000000000007,37138,0,37138.0,1.9071762903082027e-05,0.0,1.2150000000000007,57324.74765507904,0.0,57324.74765507904,1,36346.798828125,0,0.004413495638762264,0.008072049917681089,-1,0.0,0.0,29386.539999999997,10408.630000000001,17112.5,16316.0,1.039,54181.75307965796,9883.99,9883.99,0,46434.36,16316.0,569.92
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.1517292169,1.0350000000000006,48879,0,48879.0,1.9071762903082027e-05,0.0,1.0350000000000006,66648.82800929165,0.0,66648.82800929165,1,36346.798828125,0,0.004803528445287457,0.017408360742020873,-1,0.0,0.0,40041.88999999999,8151.220000000001,14446.35,27752.0,0.853,147144.1173456487,13420.64,13420.64,0,55698.77,27752.0,527.84
