,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,ARMM,EQ,1,153829114,helped,a,0.9310153754994157,822.4791037502216,243302.09000000003,22302.6775,0.5150000000000002,147389,16851,164240.0,1.8750539038106825e-06,5372.16843396444,0.5150000000000002,122893.5601727389,5372.16843396444,128265.72860670334,1,15573.959716184301,0,0.004054684583948997,0.0,-1,0.0,0.0,32940.870000000104,76833.25000000003,261402.11,0.0,10.0,31849.645062216976,10906.15,10606.41,299.74,28039.88,0.0,537.6
1,ARMM,EQ,1,153893114,helped,a,0.7499636399729919,0.0,98041.71900000001,22302.6775,0.5650000000000003,54827,6268,61095.0,1.8750539038106825e-06,1998.2643014710764,0.5650000000000003,48456.329163489914,1998.2643014710764,50454.59346496099,1,15573.959716184301,0,0.006387406222212573,0.0,-1,0.0,0.0,10594.619999999995,40081.51000000006,105335.36,0.0,10.0,8294.835028151423,3526.07,3414.58,111.49,9577.55,0.0,183.54
2,ARMM,EQ,1,156627419,helped,a,1.628717189054237,0.0,116599.21000000002,22302.6775,0.7550000000000004,44656,5105,49761.0,1.8750539038106825e-06,1627.495095566344,0.7550000000000004,47951.79733351827,1627.495095566344,49579.29242908461,1,15573.959716184301,0,0.00585709396839272,0.0,-1,0.0,0.0,4964.710000000004,80316.85999999996,132476.01,0.0,10.0,8668.515088983244,1696.77,1605.96,90.81,5500.05,0.0,105.21
3,ARMM,EQ,1,156642019,helped,a,0.6874904727745614,0.0,21066.311000000005,22302.6775,0.19500000000000006,28408,3247,31655.0,1.8750539038106825e-06,1035.1570176893083,0.0,9056.587791351361,1035.1570176893083,10091.744809040669,3,15573.959716184301,0,0.013779572685382052,0.2231317230224901,-1,2.90944123314066,2.90944123314066,28408.0,-8.810729923425242e-13,12574.06,1841.041,10.0,19654.780633763043,9114.35,9056.59,57.76,9114.35,9114.35,0.0
4,ARMM,EQ,1,157025015,helped,a,2.6924615309153936,1370.7984756648525,26179.943,22302.6775,0.8450000000000005,8566,979,9545.0,1.8750539038106825e-06,312.1092455552303,0.8450000000000005,9969.151051118668,312.1092455552303,10281.260296673898,1,15573.959716184301,0,0.012360773468492348,0.0,-1,0.0,0.0,732.9500000000031,43358.03000000001,48605.82,0.0,10.0,2152.902476878276,254.92,237.51,17.41,884.43,0.0,16.9
5,ARMM,EQ,1,157260118,helped,a,2.324508889247561,0.0,23040.299000000003,22302.6775,0.3950000000000002,18647,2132,20779.0,1.8750539038106825e-06,679.69041013662,0.264,6786.6488736790825,679.69041013662,7466.339283815702,2,15573.959716184301,0,0.013176071421869688,0.3437629903329625,-1,2.90944123314066,2.90944123314066,12683.140000000005,6753.619999999994,7493.85,5196.0,9.446,29908.935239907238,4101.98,4064.06,37.92,7467.4,5196.0,43.4
6,ARMM,EQ,1,157260240,helped,a,2.324508889247561,0.0,18463.852000000006,22302.6775,0.20500000000000004,24661,2819,27480.0,1.8750539038106825e-06,898.7088490502495,0.0,7862.028707494928,898.7088490502495,8760.737556545178,3,15573.959716184301,0,0.014718679224862093,0.16294072626255068,-1,2.90944123314066,2.90944123314066,24661.0,4319.059999999993,15893.59,2172.9939999999997,10.0,57690.32999360581,7912.17,7862.03,50.14,7912.17,2172.9939999999997,110.58
7,ARMM,EQ,1,157260362,helped,a,1.367358197352658,0.0,25606.150000000012,22302.6775,0.2350000000000001,31195,3566,34761.0,1.8750539038106825e-06,1136.855535903934,0.001,9945.094908166915,1136.855535903934,11081.95044407085,3,15573.959716184301,0,0.012498498805629702,0.3490407816723107,-1,2.90944123314066,1.3680154142581868,31190.80000000001,3.169020601490047e-12,8328.39,1416.473,10.0,42921.87533501156,10007.38,9943.95,63.43,10038.57,10038.57,0.0
8,ARMM,EQ,1,157260484,helped,a,1.6408297443192739,0.0,25441.725000000002,22302.6775,0.3050000000000001,25943,2966,28909.0,1.8750539038106825e-06,945.5730565033842,0.168,8922.192227312316,945.5730565033842,9867.765283815701,2,15573.959716184301,0,0.012538821464144603,0.5249259146327717,-1,2.90944123314066,2.90944123314066,20115.87999999998,8734.919999999998,8274.91,8011.0,10.757,33385.289207254544,6486.58,6433.82,52.76,9877.0,8011.0,35.65
9,ARMM,EQ,1,157640114,helped,a,0.9211675381074722,0.0,32336.271000000008,22302.6775,0.7150000000000004,13982,1598,15580.0,1.8750539038106825e-06,509.4490034701307,0.7150000000000004,14454.649378297483,509.4490034701307,14964.098381767613,1,15573.959716184301,0,0.011122054727009101,0.055144318310146205,-1,0.0,0.0,1746.3300000000033,2161.9000000000015,10517.37,1369.0,3.473,1713.1056072733475,592.88,564.46,28.42,1858.82,1369.0,9.19
