,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.664021083285,0.7950000000000005,17130,0,17130.0,2.108904985962487e-05,0.0,0.016,5905.8651929582875,0.0,5905.8651929582875,2,36346.798828125,0,0.009729778363522642,0.004020335582546263,-1,0.057803468208092484,0.057803468208092484,17114.160000000003,3487.9199999999996,3521.06,5326.0,8.031,86719.91596422273,5624.55,5624.55,0,5898.46,5326.0,11.01
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.6057375128,0.8450000000000005,34666,0,34666.0,2.108904985962487e-05,0.0,0.8450000000000005,40682.19037030431,0.0,40682.19037030431,1,36346.798828125,0,0.006526245786778747,0.00740485527823596,-1,0.0,0.0,33013.46,6695.960000000001,7826.22,20151.0,0.841,237968.36807097294,11024.52,11024.52,0,39378.8,20151.0,364.33
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699293,0.8450000000000005,71724,0,71724.0,2.108904985962487e-05,0.0,0.8450000000000005,84171.50585933498,0.0,84171.50585933498,1,36346.798828125,0,0.004589642686662065,0.007719805194942789,-1,0.0,0.0,68304.89,13513.66,15824.17,42177.0,0.827,211010.10397038324,22809.75,22809.75,0,81474.8,42177.0,744.47
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.68880117586,1.1150000000000009,47901,0,47901.0,2.108904985962487e-05,0.0,1.1150000000000009,69147.35875924386,0.0,69147.35875924386,1,36346.798828125,0,0.004643500821149795,0.004695295291946645,-1,0.0,0.0,44911.13,13141.69,15459.22,26873.0,0.853,185953.11464856463,15075.86,15075.86,0,66239.22,26873.0,744.89
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193315,0.9650000000000006,38133,0,38133.0,2.108904985962487e-05,0.0,0.9650000000000006,49326.838826250925,0.0,49326.838826250925,1,36346.798828125,0,0.005775933677332382,0.00620814273051613,-1,0.0,0.0,36064.17,8499.65,9991.58,22166.0,0.836,223337.42919919157,12071.16,12071.16,0,47526.23,22166.0,480.18
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889785,0.7550000000000004,48577,0,48577.0,2.108904985962487e-05,0.0,0.7550000000000004,52635.476727579546,0.0,52635.476727579546,1,36346.798828125,0,0.005978262876591124,0.009026941699418015,-1,0.0,0.0,46502.619999999995,7981.849999999999,9326.72,28237.0,0.836,334620.5010907107,15502.19,15502.19,0,51126.15,28237.0,433.89
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288203,0.8450000000000005,33115,0,33115.0,2.108904985962487e-05,0.0,0.8450000000000005,38862.018522835846,0.0,38862.018522835846,1,36346.798828125,0,0.006551783832808398,0.006978075403973393,-1,0.0,0.0,31536.399999999998,6672.650000000001,7765.32,19025.0,0.855,194846.93818340922,10531.27,10531.27,0,37616.95,19025.0,352.36
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052586,0.6450000000000004,56196,0,56196.0,2.108904985962487e-05,0.0,0.6450000000000004,54709.4635334224,0.0,54709.4635334224,1,36346.798828125,0,0.0061043483897546946,0.0113007809177452,-1,0.0,0.0,54139.4,7707.479999999999,8945.41,32286.0,0.833,277677.085410428,18009.79,18009.79,0,53366.39,32286.0,399.81
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133014,1.2150000000000007,37138,0,37138.0,2.108904985962487e-05,0.0,1.2150000000000007,57324.74765507904,0.0,57324.74765507904,1,36346.798828125,0,0.004413495638762264,0.0024381938749316033,-1,0.0,0.0,34619.24,14855.730000000001,17112.5,16316.0,1.039,63829.59101049638,11643.94,11643.94,0,54702.63,16316.0,727.39
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.1517292169,1.0350000000000006,48879,0,48879.0,2.108904985962487e-05,0.0,1.0350000000000006,66648.82800929165,0.0,66648.82800929165,1,36346.798828125,0,0.004803528445287457,0.005258262642903541,-1,0.0,0.0,46040.5,12310.960000000001,14446.35,27752.0,0.853,169187.5135302385,15431.16,15431.16,0,64042.9,27752.0,687.02
