region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,500,243302.09000000003,22897.810125334083,0.0
ARMM,PF,500,98041.719,9721.052054185122,0.0
ARMM,PF,500,116599.21000000002,20751.86107578595,0.0
ARMM,PF,500,21066.311000000005,5674.265822749782,1267.1488269687163
ARMM,PF,500,26179.943,3245.8868390084444,0.0
ARMM,PF,500,23040.299000000006,4183.169613060029,1.1241384532926493
ARMM,PF,500,18463.852000000006,5084.736553041211,4496.303085338083
ARMM,PF,500,25606.15000000001,8756.228888518315,550.561684048699
ARMM,PF,500,25441.725,11369.886665998434,10054.101321276215
ARMM,PF,500,32336.27100000001,5265.165071201012,0.20819198937137046
ARMM,PF,500,28000.33800000001,3031.2176379057496,0.016340187060168983
ARMM,PF,500,24290.74000000001,7456.220741572685,288.4467791411016
ARMM,PF,500,14660.443000000005,4514.475111689015,3992.035410611134
ARMM,PF,500,25692.90800000001,2336.680458968585,0.0
ARMM,PF,500,28644.793000000005,7501.196735094541,45.58812267946598
ARMM,PF,500,21983.363000000005,7921.825513362492,7005.068625617944
ARMM,PF,500,41782.48800000001,9563.24655826573,0.0
ARMM,PF,500,75756.96100000001,9561.516119417809,0.0
ARMM,PF,500,17893.768000000004,3401.1225079408973,3007.5260471303936
ARMM,PF,500,20441.686,4709.858435644002,184.24712661680482
ARMM,PF,500,20354.516000000007,2345.1863487793953,0.0
ARMM,PF,500,29381.92200000001,6675.399100075129,0.0
ARMM,PF,500,14467.27099999999,1350.6702511188755,1194.2909264197149
ARMM,PF,500,9765.75679999997,554.1896972181987,0.0
ARMM,PF,500,14189.76599999998,792.9806235409241,0.0
ARMM,PF,500,26386.826,1905.8188718866086,0.0
ARMM,PF,500,24692.90000000001,8311.189084628375,609.4100934029004
ARMM,PF,500,12662.072000000002,1453.016725140573,1284.8656987725058
ARMM,PF,500,16819.752000000008,2826.393545816592,2499.307857519947
ARMM,PF,500,14568.435,1393.842522826084,1232.5264277694996
ARMM,PF,500,19211.766000000003,1546.7111628915395,0.0
ARMM,PF,500,16270.782000000007,6172.665420407807,5458.330885980589
ARMM,PF,500,15593.180000000002,4364.2592308300345,3859.2033314016335
ARMM,PF,500,16000.623,4488.6987062734415,3969.241991524426
ARMM,PF,500,13540.620999999996,4800.8961688853915,4245.2740642398885
ARMM,PF,500,11936.803999999998,1628.0137140051208,1439.5975076066968
ARMM,PF,500,21340.802999999967,3283.683933893572,0.3005655998178182
ARMM,PF,500,217936.58,28562.213406465136,0.0
ARMM,PF,500,18579.625,3214.970207693436,3005.6652838156965
ARMM,PF,500,28168.06600000001,9465.40878068218,357.6134103696376
ARMM,PF,500,40491.92200000001,11003.851618578756,69.13188534708266
ARMM,PF,500,47652.73400000001,19768.125273440382,1500.868405354588
ARMM,PF,500,32448.801,6638.003200733017,0.0
ARMM,PF,500,27148.196999999996,3730.0394505138456,0.0
ARMM,PF,500,17948.328,2889.8028225318662,2555.3590199079104
ARMM,PF,500,20872.67799999999,1265.0616377328945,0.051137813117349065
ARMM,PF,500,15453.292999999969,3295.7698108160243,2914.1916009127413
ARMM,PF,500,236120.69000000012,17143.666295671286,0.0
ARMM,PF,500,78659.79700000005,9422.778636206654,0.0
ARMM,PF,500,50589.066,4337.6783961707515,0.0
ARMM,PF,500,140935.58000000005,20784.779608299174,0.0
ARMM,PF,500,24142.43600000001,6761.0092969513835,117.8367060781918
ARMM,PF,500,20699.721,6793.705883877586,6007.470132533027
ARMM,PF,500,18379.77500000001,7401.813167238314,6545.234946546887
ARMM,PF,500,18344.682000000008,7014.053262717169,6202.348734669096
ARMM,PF,500,22801.00600000001,8338.351099304964,7373.391597252582
ARMM,PF,500,15999.516000000005,5797.287362837318,5126.393626141058
ARMM,PF,500,18754.285000000003,7842.626430879648,6935.03489324875
ARMM,PF,500,68036.97700000001,15592.265956258594,0.0
ARMM,PF,500,22240.632999999998,1950.0442291831173,0.0
ARMM,PF,500,29673.542999999998,2042.9294769220712,0.0
ARMM,PF,500,30097.895999999993,11175.548006328514,670.642851713716
ARMM,PF,500,62615.32800000003,5508.303084806759,0.0
ARMM,PF,500,74621.10900000003,11460.360715325656,0.0
ARMM,PF,500,29568.06100000001,2544.876348573425,0.0
ARMM,PF,500,44617.312999999995,6064.0618631425905,0.0
ARMM,PF,500,64729.30900000002,5916.02968198312,0.0
ARMM,PF,500,111140.91000000002,15485.765316273377,0.0
ARMM,PF,500,49402.30100000001,6893.697544587114,0.0
ARMM,PF,500,25535.25600000001,5534.817509900884,0.0
ARMM,PF,500,17854.453000000005,6831.830383302712,6041.213681479299
ARMM,PF,500,18049.627000000004,5455.175732721021,4823.873021194098
ARMM,PF,500,21050.871000000006,6894.912430491297,6096.995529849362
ARMM,PF,500,19140.492000000006,8487.111773624436,7504.936874366213
ARMM,PF,500,21132.137000000006,8482.828171552206,7501.14899410677
ARMM,PF,500,21142.00600000001,5103.628666349091,118.78848238335274
ARMM,PF,500,27279.287000000004,10406.967418585728,1010.9699659176844
ARMM,PF,500,23346.767999999996,8297.313457671416,5013.420854591059
ARMM,PF,500,19313.260000000006,7264.791728783585,6424.070376847995
ARMM,PF,500,37827.42200000001,4435.703851238563,0.0
ARMM,PF,500,39478.04700000001,3990.164656088106,0.0
ARMM,PF,500,31803.641,4058.340941552656,0.0
ARMM,PF,500,40550.086,4447.487432492217,0.0
ARMM,PF,500,26021.849999999995,3396.245798743273,0.0
ARMM,PF,500,39276.79299999998,4628.100544275349,0.0
ARMM,PF,500,27355.366999999995,2339.312161492145,0.0
ARMM,PF,500,59169.49600000003,8188.523407601229,0.0
ARMM,PF,500,52427.59800000001,5004.025425745973,0.0
ARMM,PF,500,60632.23,7403.43083849682,0.0
ARMM,PF,500,20574.4839999999,3447.259093683063,1.0949235032237414
ARMM,PF,500,29654.223000000005,9294.311429034256,0.0
ARMM,PF,500,49582.765999999996,7520.027366635259,0.0
ARMM,PF,500,36033.031,4800.384600735622,0.0
ARMM,PF,500,26691.490000000005,5154.12906492175,0.0
ARMM,PF,500,74134.26600000003,7372.997329927173,0.0
ARMM,PF,500,40324.543,3348.884484631549,0.0
ARMM,PF,500,24047.217000000004,4362.245193210852,0.0
ARMM,PF,500,22369.79900000001,5000.73645029755,19.012589559972888
ARMM,PF,500,37075.246,6050.314768637253,0.2464461330750289
ARMM,PF,500,39071.258000000016,5726.88088781253,0.07153356681720559
