,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.664021083285,0.7950000000000005,17130,0,17130.0,9.35703563347899e-07,0.0,0.809,5905.8651929582875,0.0,5905.8651929582875,2,36346.798828125,0,0.009729778363522642,0.42548671912102776,-1,9.653179190751457,9.653179190751457,1743.7899999999997,0.2999999999989871,3521.06,0.0,8.031,8972.056373193982,581.92,581.92,0,2014.8,1998.71,0.01
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.6057375128,0.8450000000000005,34666,0,34666.0,9.35703563347899e-07,0.0,0.8450000000000005,40682.19037030431,0.0,40682.19037030431,1,36346.798828125,0,0.006526245786778747,0.21514750873706465,-1,0.0,0.0,9.939999999983094,0.09999999999990887,7826.22,0.0,0.841,71.62732027052618,3.32,3.32,0,11.85,11.85,0.0
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699293,0.8450000000000005,71724,0,71724.0,9.35703563347899e-07,0.0,0.8450000000000005,84171.50585933498,0.0,84171.50585933498,1,36346.798828125,0,0.004589642686662065,0.2222727392144526,-1,0.0,0.0,20.55999999999504,0.09000000000327973,15824.17,0.0,0.827,63.52239011270782,6.87,6.87,0,24.53,24.53,0.0
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.68880117586,1.1150000000000009,47901,0,47901.0,9.35703563347899e-07,0.0,1.1150000000000009,69147.35875924386,0.0,69147.35875924386,1,36346.798828125,0,0.004643500821149795,0.12333969057850257,-1,0.0,0.0,1.0200000000092266,0.09000000000230873,15459.22,0.0,0.853,4.2145636821574435,0.34,0.34,0,1.5,1.5,0.0
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193315,0.9650000000000006,38133,0,38133.0,9.35703563347899e-07,0.0,0.9650000000000006,49326.838826250925,0.0,49326.838826250925,1,36346.798828125,0,0.005775933677332382,0.17087816844416565,-1,0.0,0.0,3.4300000000119737,0.09000000000159619,9991.58,0.0,0.836,21.2146546884367,1.15,1.15,0,4.52,4.52,0.0
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889785,0.7550000000000004,48577,0,48577.0,9.35703563347899e-07,0.0,0.7550000000000004,52635.476727579546,0.0,52635.476727579546,1,36346.798828125,0,0.005978262876591124,0.2738493518937029,-1,0.0,0.0,33.19999999997581,0.09000000000051861,9326.72,0.0,0.836,238.9232098927063,11.07,11.07,0,36.51,36.51,0.0
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288203,0.8450000000000005,33115,0,33115.0,9.35703563347899e-07,0.0,0.8450000000000005,38862.018522835846,0.0,38862.018522835846,1,36346.798828125,0,0.006551783832808398,0.20412830038132773,-1,0.0,0.0,9.50999999999126,0.09000000000112279,7765.32,0.0,0.855,58.78100597028472,3.18,3.18,0,11.35,11.35,0.0
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052586,0.6450000000000004,56196,0,56196.0,9.35703563347899e-07,0.0,0.6450000000000004,54709.4635334224,0.0,54709.4635334224,1,36346.798828125,0,0.0061043483897546946,0.3633488718761412,-1,0.0,0.0,111.10000000001943,0.09999999999849755,8945.41,0.0,0.833,569.8272459155847,36.96,36.96,0,109.52,109.52,0.0
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133014,1.2150000000000007,37138,0,37138.0,9.35703563347899e-07,0.0,1.2150000000000007,57324.74765507904,0.0,57324.74765507904,1,36346.798828125,0,0.004413495638762264,0.06907266546713672,-1,0.0,0.0,0.29999999999772275,0.09000000000136837,17112.5,0.0,1.039,0.5583406311676608,0.12,0.12,0,0.5,0.5,0.0
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.1517292169,1.0350000000000006,48879,0,48879.0,9.35703563347899e-07,0.0,1.0350000000000006,66648.82800929165,0.0,66648.82800929165,1,36346.798828125,0,0.004803528445287457,0.1421069598704829,-1,0.0,0.0,2.2299999999869695,0.09999999999977209,14446.35,0.0,0.853,8.213010574608662,0.75,0.75,0,3.11,3.11,0.0
