,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,ARMM,EQ,1,153829114,helped,a,0.9310153754994157,822.4791037502216,243302.09000000003,22302.6775,0.5150000000000002,147389,16851,164240.0,1.5581166858602948e-06,5372.16843396444,0.5150000000000002,122893.5601727389,5372.16843396444,128265.72860670334,1,15573.959716184301,0,0.004054684583948997,0.0,-1,0.0,0.0,12212.020000000102,43019.880000000034,261402.11,0.0,10.0,11610.772270576983,3975.84,3932.07,43.77,10327.75,0.0,198.01
1,ARMM,EQ,1,153893114,helped,a,0.7499636399729919,0.0,98041.71900000001,22302.6775,0.5650000000000003,54827,6268,61095.0,1.5581166858602948e-06,1998.2643014710764,0.5650000000000003,48456.329163489914,1998.2643014710764,50454.59346496099,1,15573.959716184301,0,0.006387406222212573,0.0,-1,0.0,0.0,3566.979999999993,28994.530000000083,105335.36,0.0,10.0,2742.681163999425,1165.89,1149.61,16.28,3203.29,0.0,61.39
2,ARMM,EQ,1,156627419,helped,a,1.628717189054237,0.0,116599.21000000002,22302.6775,0.7550000000000004,44656,5105,49761.0,1.5581166858602948e-06,1627.495095566344,0.7550000000000004,47951.79733351827,1627.495095566344,49579.29242908461,1,15573.959716184301,0,0.00585709396839272,0.0,-1,0.0,0.0,1159.130000000004,74827.89999999995,132476.01,0.0,10.0,1983.3060737064648,388.21,374.95,13.26,1276.18,0.0,24.41
3,ARMM,EQ,1,156642019,helped,a,0.6874904727745614,0.0,21066.311000000005,22302.6775,0.19500000000000006,28408,3247,31655.0,1.5581166858602948e-06,1035.1570176893083,0.0,9056.587791351361,1035.1570176893083,10091.744809040669,3,15573.959716184301,0,0.013779572685382052,0.6482039451828607,-1,4.836223506743741,4.836223506743741,28408.0,-8.810729923425242e-13,12574.06,1841.041,10.0,19548.41579062308,9065.02,9056.59,8.43,9065.02,9065.02,0.0
4,ARMM,EQ,1,157025015,helped,a,2.6924615309153936,1370.7984756648525,26179.943,22302.6775,0.8450000000000005,8566,979,9545.0,1.5581166858602948e-06,312.1092455552303,0.8450000000000005,9969.151051118668,312.1092455552303,10281.260296673898,1,15573.959716184301,0,0.012360773468492348,0.0,-1,0.0,0.0,143.89000000000325,42532.08000000001,48605.82,0.0,10.0,415.24738757362775,49.17,46.63,2.54,172.75,0.0,3.3
5,ARMM,EQ,1,157260118,helped,a,2.324508889247561,0.0,23040.299000000003,22302.6775,0.3950000000000002,18647,2132,20779.0,1.5581166858602948e-06,679.69041013662,0.398,6786.6488736790825,679.69041013662,7466.339283815702,2,15573.959716184301,0,0.013176071421869688,0.5186153055671932,-1,4.836223506743741,4.836223506743741,6165.720000000002,4401.359999999989,7493.85,5196.0,9.446,14482.96756803174,1986.33,1980.79,5.54,4459.18,4459.18,0.0
6,ARMM,EQ,1,157260240,helped,a,2.324508889247561,0.0,18463.852000000006,22302.6775,0.20500000000000004,24661,2819,27480.0,1.5581166858602948e-06,898.7088490502495,0.0,7862.028707494928,898.7088490502495,8760.737556545178,3,15573.959716184301,0,0.014718679224862093,0.4423458126632764,-1,4.836223506743741,4.836223506743741,24661.0,-7.865708084864309e-12,15893.59,2172.9939999999997,10.0,57378.099426095076,7869.35,7862.03,7.32,7869.35,7869.35,0.0
7,ARMM,EQ,1,157260362,helped,a,1.367358197352658,0.0,25606.150000000012,22302.6775,0.2350000000000001,31195,3566,34761.0,1.5581166858602948e-06,1136.855535903934,0.004,9945.094908166915,1136.855535903934,11081.95044407085,3,15573.959716184301,0,0.012498498805629702,0.7172036089415949,-1,4.836223506743741,3.29479768786128,31037.960000000043,3.169020601490047e-12,8328.39,1416.473,10.0,42483.00187978195,9905.05,9895.79,9.26,10029.21,10029.21,0.0
8,ARMM,EQ,1,157260484,helped,a,1.6408297443192739,0.0,25441.725000000002,22302.6775,0.3050000000000001,25943,2966,28909.0,1.5581166858602948e-06,945.5730565033842,0.307,8922.192227312316,945.5730565033842,9867.765283815701,2,15573.959716184301,0,0.012538821464144603,0.7957524949398911,-1,4.836223506743741,4.836223506743741,12131.259999999984,6150.629999999996,8274.91,8011.0,10.757,20063.07186584763,3898.14,3890.44,7.7,7644.53,7644.53,0.0
9,ARMM,EQ,1,157640114,helped,a,0.9211675381074722,0.0,32336.271000000008,22302.6775,0.7150000000000004,13982,1598,15580.0,1.5581166858602948e-06,509.4490034701307,0.7150000000000004,14454.649378297483,509.4490034701307,14964.098381767613,1,15573.959716184301,0,0.011122054727009101,0.06414815248779451,-1,0.0,0.0,440.37000000000245,1027.2900000000027,10517.37,0.0,3.473,423.2755037863715,146.49,142.34,4.15,465.72,0.0,8.91
